,Unnamed: 0,q,que,refer_content,ai_answer,a,create_time,kb_ids,goods_name,order_status,refund_status
34,35,怎么买？,"[{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲1仍然""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲""},{""role"":""user"",""content"":""1""},{""role"":""assistant"",""content"":""1仍然557891011""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲111""},{""role"":""user"",""content"":""怎么买？""}]","['问题：""怎么"", 答案：""你好 在的亲""', '问题：""怎么用"", 答案：""冲泡即食哈亲""', '问题：""怎么操作？"", 答案：""订单上申请就可以""', '问题：""怎么操作？"", 答案：""亲 找到您的订单申请退货退款 按要求操作就可以哦""', '问题：""怎么领取"", 答案：""亲 领取什么呢""', '问题：""一次性买几种怎么买"", 答案：""直接下单就可以啦。""', '问题：""怎么做呀"", 答案：""亲 参考下哦""', '问题：""怎么使用"", 答案：""热水冲泡即可""', '问题：""这个怎么做"", 答案：""参考下""', '问题：""怎么制作"", 答案：""亲 参考下哦""']",拍随意搭配的,拍随意搭配的,2024-04-16 18:16:38,"12,18",小白帆布鞋2023年新款,待发货,退款成功
35,37,zq,"[{""role"":""user"",""content"":""1""},{""role"":""user"",""content"":""1""},{""role"":""user"",""content"":""1""},{""role"":""user"",""content"":""1""},{""role"":""user"",""content"":""zq""}]","['问题：""执行标准"", 答案：""Q/zyjk0003s""', '问题：""402570424@qq.com"", 答案：""好的 亲""', '问题：""品牌"", 答案：""谷物盟主""', '问题：""阿巴阿巴"", 答案：""🌹""', '问题：""什么铅笔都能装饰是吗？"", 答案：""🌹""', '问题：""以前用雀巢卖的慢赔了不少钱现在遇到你家不愁了"", 答案：""😁""', '问题：""现在懂了，回哈继续干奶茶店准备资金"", 答案：""👋""', '问题：""在海南赔了60多个诶三年疫情坑人"", 答案：""🙏""']",什么意思亲,什么意思亲,2024-04-16 17:53:57,12,,已签收,无售后或售后关闭
36,38,1,"[{""role"":""user"",""content"":""发货""},{""role"":""assistant"",""content"":""亲亲，发货时间48小时内哦~""},{""role"":""user"",""content"":""发什么物流""},{""role"":""assistant"",""content"":""亲亲，我们发极兔、中通、邮政，不指定快递，仓库随机发哦~""},{""role"":""user"",""content"":""多久发货""},{""role"":""assistant"",""content"":""亲亲，下单48小时内发货哦。""},{""role"":""user"",""content"":""1""},{""role"":""assistant"",""content"":""1""},{""role"":""user"",""content"":""多久发货""},{""role"":""assistant"",""content"":""亲亲，下单48小时内发货哦。好的亲""},{""role"":""user"",""content"":""1""}]","['问题：""一"", 答案：""亲 可以灌8-10斤哦""', '问题：""？"", 答案：""猪小肠衣""', '问题：""<运营问题>保质期多久？"", 答案：""1年""', '问题：""<物流问题>能储存多长时间？"", 答案：""1年""', '问题：""哦"", 答案：""好的亲🌹""', '问题：""<运营问题>是否有相关的认证或授权？"", 答案：""无""', '问题：""<运营问题>是否有季节性或地域限制？"", 答案：""无""', '问题：""<商品成分>有反式脂肪酸吗？"", 答案：""无""', '问题：""<商品成分>有无致敏源？"", 答案：""无""', '问题：""<商品成分>有无农药残留？"", 答案：""无""']",1,,2024-04-16 17:53:43,"22,23",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
41,52,多久发货,"[{""role"":""user"",""content"":""什么时候发挥""},{""role"":""user"",""content"":""发货""},{""role"":""assistant"",""content"":""亲亲，发货时间48小时内哦~""},{""role"":""user"",""content"":""发什么物流""},{""role"":""assistant"",""content"":""亲亲，我们发极兔、中通、邮政，不指定快递，仓库随机发哦~""},{""role"":""user"",""content"":""多久发货""},{""role"":""assistant"",""content"":""亲亲，下单48小时内发货哦。""},{""role"":""user"",""content"":""1""},{""role"":""assistant"",""content"":""1""},{""role"":""user"",""content"":""多久发货""}]","['问题：""什么时候发货"", 答案：""下单48小时内发货亲""', '问题：""什么时候发货？能快点吗"", 答案：""下单48小时内发货亲""', '问题：""什么时候到货？"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""有点急  最快什么时候 发货？"", 答案：""我催下亲亲 尽快安排""', '问题：""什么时候发货？有货吗？"", 答案：""亲，下单48小时内发货哦。""', '问题：""什么时候发货？大约几天能到我这里人工"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""什么时候发货？什么时候发货？"", 答案：""亲，下单48小时内发货哦。""', '问题：""什么时候发货？哪里发货"", 答案：""亲，下单48小时内发货哦。""', '问题：""速度发货"", 答案：""发货是在我们仓库哦，速度会尽快的呢。""', '问题：""你好下单了啥时候发货"", 答案：""下单48小时内发货亲""']",亲亲，下单48小时内发货哦。,亲亲，下单48小时内发货哦。,2024-04-16 17:42:32,"22,23",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
44,58,你好,"[{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""哈哈哈""},{""role"":""assistant"",""content"":""亲，有什么问题需要我帮您解答吗？""},{""role"":""user"",""content"":""你好""}]",[],,很高兴为您服务，请问有什么可以帮您？,2024-04-16 17:39:25,"22,23",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
50,64,发什么物流,"[{""role"":""user"",""content"":""1""},{""role"":""user"",""content"":""[大哭][大哭][大哭]""},{""role"":""assistant"",""content"":""亲 可以灌8-10斤哦""},{""role"":""user"",""content"":""什么时候发挥""},{""role"":""user"",""content"":""发货""},{""role"":""assistant"",""content"":""亲亲，发货时间48小时内哦~""},{""role"":""user"",""content"":""发什么物流""}]","['问题：""<物流问题>发什么物流？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？哪里发货"", 答案：""亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦~""', '问题：""发什么快递？发什么快递？哪里发货"", 答案：""山东枣庄发货的亲""', '问题：""今天可以发货吧哪里发？什么快递"", 答案：""亲亲，下单后的48小时内陆续发货哦~""', '问题：""什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""<物流问题>什么时间发货？"", 答案：""下单48小时内""', '问题：""发什么快递？什么时候发货？"", 答案：""亲，我们发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？可以指定邮政快递吗？"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""物流怎么不动"", 答案：""会尽快的哈""']",亲亲，我们发极兔、中通、邮政，不指定快递，仓库随机发哦~,亲亲，我们发极兔、中通、邮政，不指定快递，仓库随机发哦~,2024-04-16 17:03:03,"22,23",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
51,65,什么时候发挥发货,"[{""role"":""user"",""content"":""1""},{""role"":""user"",""content"":""[大哭][大哭][大哭]""},{""role"":""assistant"",""content"":""亲 可以灌8-10斤哦""},{""role"":""user"",""content"":""什么时候发挥""},{""role"":""user"",""content"":""什么时候发挥发货""}]","['问题：""啥时候发"", 答案：""下单48小时内发货亲""', '问题：""什么时候到"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""好的什么时候发给我"", 答案：""尽快 我这边联系仓库亲""', '问题：""催到什么时候？"", 答案：""快递的问题咱也不好说啊""', '问题：""你好多久到 急着用"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""那等到什么时候呢"", 答案：""耐心等下哈""', '问题：""什么时候发货"", 答案：""下单48小时内发货亲""', '问题：""今天能发不"", 答案：""亲亲，下单后的48小时内陆续发货哦~""', '问题：""需要时间是多久"", 答案：""亲 您的订单时间比较长 核实也会比较麻烦 快递核实后会与您联系。""', '问题：""大约几天"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""']",,亲亲，发货时间48小时内哦~,2024-04-16 17:02:51,"22,23",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
52,66,什么时候发挥,"[{""role"":""user"",""content"":""1""},{""role"":""user"",""content"":""[大哭][大哭][大哭]""},{""role"":""assistant"",""content"":""亲 可以灌8-10斤哦""},{""role"":""user"",""content"":""什么时候发挥""}]","['问题：""啥时候发"", 答案：""下单48小时内发货亲""', '问题：""什么时候到"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""好的什么时候发给我"", 答案：""尽快 我这边联系仓库亲""', '问题：""催到什么时候？"", 答案：""快递的问题咱也不好说啊""', '问题：""你好多久到 急着用"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""那等到什么时候呢"", 答案：""耐心等下哈""', '问题：""什么时候发货"", 答案：""下单48小时内发货亲""', '问题：""今天能发不"", 答案：""亲亲，下单后的48小时内陆续发货哦~""', '问题：""需要时间是多久"", 答案：""亲 您的订单时间比较长 核实也会比较麻烦 快递核实后会与您联系。""', '问题：""大约几天"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""']",亲亲，发货时间48小时内哦~,,2024-04-16 17:02:48,"22,23",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
53,67,1[大哭][大哭][大哭],"[{""role"":""user"",""content"":""1""},{""role"":""user"",""content"":""1[大哭][大哭][大哭]""}]","['问题：""一"", 答案：""亲 可以灌8-10斤哦""', '问题：""？"", 答案：""猪小肠衣""', '问题：""<运营问题>保质期多久？"", 答案：""1年""', '问题：""<物流问题>能储存多长时间？"", 答案：""1年""', '问题：""哦"", 答案：""好的亲🌹""', '问题：""<运营问题>是否有相关的认证或授权？"", 答案：""无""', '问题：""<运营问题>是否有季节性或地域限制？"", 答案：""无""', '问题：""<商品成分>有反式脂肪酸吗？"", 答案：""无""', '问题：""<商品成分>有无致敏源？"", 答案：""无""', '问题：""<商品成分>有无农药残留？"", 答案：""无""']",,亲 可以灌8-10斤哦,2024-04-16 17:02:31,"22,23",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
56,70,哈哈哈,"[{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""哈哈哈""}]","['问题：""哦哦"", 答案：""🌹""', '问题：""哦哦"", 答案：""是的""', '问题：""好"", 答案：""嗯嗯""', '问题：""噢"", 答案：""🌹""', '问题：""哦"", 答案：""好的亲🌹""', '问题：""好的"", 答案：""好的亲🌹""', '问题：""还得拍几样我看看吧"", 答案：""好的""', '问题：""嗯，处理完我好从拍"", 答案：""好的""']",亲，有什么问题需要我帮您解答吗？,亲，有什么问题需要我帮您解答吗？,2024-04-16 17:00:13,"22,23",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
61,75,不是我好了你好吧我*****卧槽啊我**你***圣经吧怎么办？你还呢你好呢,"[{""role"":""user"",""content"":""怎么办？""},{""role"":""user"",""content"":""你还呢""},{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""不是我好了你好吧我*****卧槽啊我**你***圣经吧怎么办？你还呢你好呢""}]","['问题：""你你好吧你好你好的你好呢你好你还"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""[不好][我伤心了]"", 答案：""🌹""', '问题：""[捂脸]好吧"", 答案：""好的亲🌹""', '问题：""你们给我寄错了[擦汗][擦汗][擦汗]"", 答案：""什么错了亲""', '问题：""不好意思看错了[偷看]"", 答案：""没事哈亲""', '问题：""看倒了[嘻嘻]"", 答案：""好的 亲""', '问题：""得得，别编了，就5毛钱，爱给不给，说瞎话不好，招灾"", 答案：""您可以咨询下平台客服哈亲，询问下是否是符合要求的，这个客服确实不清楚的。""', '问题：""好的 我记错了 我记得要一包芒果[流泪]不好意识"", 答案：""没关系的亲。后续需要芒果味可以再下单哈""', '问题：""忘记喷了还是？[流泪][流泪][流泪][流泪]"", 答案：""亲 您咨询找一下哦""', '问题：""[晕]"", 答案：""😀""']",,你好 在的亲,2024-04-16 16:49:35,"12,18",小白帆布鞋2023年新款,已签收,无售后或售后关闭
62,76,什么时候发货,"[{""role"":""user"",""content"":""什么时候发货""},{""role"":""assistant"",""content"":""亲，下单48小时内发货哦。""},{""role"":""user"",""content"":""发什么快递""},{""role"":""assistant"",""content"":""极兔 中通，邮政，不指定快递，仓库随机发""},{""role"":""user"",""content"":""多久发货""},{""role"":""assistant"",""content"":""亲，下单48小时内发货哦。""},{""role"":""user"",""content"":""什么规格""},{""role"":""assistant"",""content"":""1斤一包的""},{""role"":""user"",""content"":""嗯嗯好的""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""什么时候发货""}]","['问题：""什么时候发货"", 答案：""下单48小时内发货亲""', '问题：""什么时候发货？能快点吗"", 答案：""下单48小时内发货亲""', '问题：""什么时候发货？什么时候发货？"", 答案：""亲，下单48小时内发货哦。""', '问题：""什么时候发货？大约几天能到我这里人工"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""什么时候发货？发什么快递？"", 答案：""亲，下单48小时内发货哦。""', '问题：""<物流问题>什么时间发货？"", 答案：""下单48小时内""', '问题：""啥时候发"", 答案：""下单48小时内发货亲""', '问题：""发什么快递？什么时候发货？"", 答案：""亲，我们发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""哪里发货？"", 答案：""山东枣庄发货的亲""', '问题：""都没货了么"", 答案：""亲 不能拍就是没有了哦""']",亲，下单48小时内发货哦。,亲，下单48小时内发货哦。,2024-04-16 16:05:24,"23,21",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
63,77,嗯嗯好的,"[{""role"":""user"",""content"":""什么时候发货""},{""role"":""user"",""content"":""什么时候发货""},{""role"":""assistant"",""content"":""亲，下单48小时内发货哦。""},{""role"":""user"",""content"":""发什么快递""},{""role"":""assistant"",""content"":""极兔 中通，邮政，不指定快递，仓库随机发""},{""role"":""user"",""content"":""多久发货""},{""role"":""assistant"",""content"":""亲，下单48小时内发货哦。""},{""role"":""user"",""content"":""什么规格""},{""role"":""assistant"",""content"":""1斤一包的""},{""role"":""user"",""content"":""嗯嗯好的""}]","['问题：""嗯嗯好的"", 答案：""好的亲🌹""', '问题：""希望质量好，好用"", 答案：""嗯嗯 好的""', '问题：""好"", 答案：""嗯嗯""', '问题：""哦，好的好的"", 答案：""嗯嗯""', '问题：""好的"", 答案：""好的亲🌹""', '问题：""还得拍几样我看看吧"", 答案：""好的""', '问题：""我专门买的红辣椒都没有你家的辣椒辣"", 答案：""感谢支持""']",嗯嗯,嗯嗯,2024-04-16 16:04:31,"23,21",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
65,79,什么规格,"[{""role"":""user"",""content"":""你好""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""什么时候发货""},{""role"":""user"",""content"":""什么时候发货""},{""role"":""assistant"",""content"":""亲，下单48小时内发货哦。""},{""role"":""user"",""content"":""发什么快递""},{""role"":""assistant"",""content"":""极兔 中通，邮政，不指定快递，仓库随机发""},{""role"":""user"",""content"":""多久发货""},{""role"":""assistant"",""content"":""亲，下单48小时内发货哦。""},{""role"":""user"",""content"":""什么规格""}]","['问题：""单根多长"", 答案："" 一包是多根组成的，单根50cm-2m以内，""', '问题：""<商品成分>食品品质如何？"", 答案：""优质""', '问题：""我买的是几斤一包的"", 答案：""5斤的""', '问题：""怎么包装不一样"", 答案：""亲，新老包装随机发的哈""', '问题：""希望质量好，好用"", 答案：""嗯嗯 好的""', '问题：""<退货规则>商品质量/故障"", 答案：""拍照核实，补发或退款""', '问题：""<换货规则>商品质量/故障"", 答案：""拍照核实，补发或退款""', '问题：""你们的商品有哪几种包装？"", 答案：""有灌5斤  10斤包装 随机发""', '问题：""之前我买的12种分别叫什么名字"", 答案：""不清楚哈亲太久了这边不显示了""', '问题：""哪里发货？"", 答案：""山东枣庄发货的亲""']",1斤一包的,1斤一包的,2024-04-16 16:04:02,"23,21",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
67,81,发什么快递,"[{""role"":""user"",""content"":""多久到""},{""role"":""user"",""content"":""hh""},{""role"":""assistant"",""content"":""嗯""},{""role"":""user"",""content"":""你好""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""什么时候发货""},{""role"":""user"",""content"":""什么时候发货""},{""role"":""assistant"",""content"":""亲，下单48小时内发货哦。""},{""role"":""user"",""content"":""发什么快递""}]","['问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发哪个快递发什么快递？发什么快递？发什么快递？"", 答案：""亲，我们仓库随机发货，使用的快递有极兔、中通、邮政哦~""', '问题：""发什么快递？什么时候发货？"", 答案：""亲，我们发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""只能发邮政吗？发什么快递"", 答案：""亲亲没法指定快递呢""', '问题：""什么时候发货？发什么快递？"", 答案：""亲，下单48小时内发货哦。""', '问题：""今天可以发货吧哪里发？什么快递"", 答案：""亲亲，下单后的48小时内陆续发货哦~""', '问题：""<物流问题>发什么物流？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""哪里发货？"", 答案：""山东枣庄发货的亲""', '问题：""都没货了么"", 答案：""亲 不能拍就是没有了哦""']",极兔 中通，邮政，不指定快递，仓库随机发,极兔 中通，邮政，不指定快递，仓库随机发,2024-04-16 16:03:35,"23,21",春秋男士高帮鞋韩版潮流运动休闲板鞋男英伦内增高男鞋白色学生鞋,待发货,退款成功
