q,que,kb_ids,new_refer,actual_send_answer,qwl02-cleaned-base,qwl02-cleaned-base-gpt35,qwl02-cleaned-chat,qwl02-cleaned-chat-gpt35,qwl02-cleaneddoc3,qwl02-cleaneddoc3-gpt35,qwl02-cleaneddoc8,qwl02-cleaneddoc8-gpt35,qwl02-cleandoc8-base,qwl02-cleandoc8-base_gpt35,qwl02-cleandoc8-base-pip3,qwl02-cleandoc8-base-pip3_gpt35,yil02-cleandoc-base,yil02-cleandoc-Chat-34B,yil02-cleandoc-Chat-34B_gpt35,qwl02,qwl02_gpt35,qwl02-cleaneddoc8-32b-base,qwl02-cleaneddoc8-32b-base_gpt35,qwl02-cleaneddoc8-32b-base-new,qwl02-cleaneddoc13-32b-base,qwl02-cleaneddoc18-32b-base,qwl02-cleaneddoc18-32b-base-cp12000,qwl02-cleaneddoc18-32b-base-cp15000,qwl02-cleaneddoc18-32b-base-cp18000
麻烦你给退款吧,"[{""role"":""user"",""content"":""什么时候发货？""},{""role"":""assistant"",""content"":""亲,我们会随机选择极兔、中通、邮政中的任意一家进行发货,不支持指定快递哦。""},{""role"":""user"",""content"":""要猪肉肠衣,选那个呀""},{""role"":""assistant"",""content"":""亲,猪肠衣口径3.8-4.0左右,羊肠衣口径1.8-2.2左右,您可以根据自己的需求选择哦。""},{""role"":""user"",""content"":""已下单""},{""role"":""assistant"",""content"":""好的呢亲。会尽快安排发货哈。""},{""role"":""user"",""content"":""你好""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""你给退了吧,上次买那些喊有,刚找出来,那先不要了吧""},{""role"":""user"",""content"":""麻烦你给退款吧""}]","22,23","['问题：""麻烦你给退款吧"",答案：""好的 你申请就可以""','问题：""麻烦你给我退回好吗"",答案：""亲 需要退哪个订单 您申请下退款哦 这边联系快递退回""','问题：""我这等着用   退一包可以吗"",答案：""申请退款亲""','问题：""点错了从拍一下"",答案：""亲 可以申请退款哦""','问题：""退,退款"",答案：""后台申请亲""']",好的 你申请就可以,好的 你申请就可以,1,好的 你申请就可以,1,好的 你申请就可以,1,好的 你申请就可以,1,好的 你申请就可以,1,好的 你申请就可以,1,"好的亲，您申请退款哈亲。我们会尽快为您处理。感谢您的支持哦。感谢您的支持。亲。我们会尽快安排发货的哈亲。感谢您的支持哦。
感谢您的支持的亲。我们会尽快安排的哈。感谢您的支持哦。感谢您的支持的哈亲。我们会尽快安排的哈。感谢您的支持哦。
感谢您的支持发货的亲。我们会尽快安排的哈。感谢您的支持的哈亲。我们会尽快安排发货的哈亲。我们会尽快安排的哈。感谢您的支持发货的哈亲。感谢您的支持发货的哈亲。我们会尽快",亲，您申请下退款哦，这边联系快递退回。,1,好的 你申请就可以,1,好的呢亲。会尽快安排发货哈。,0,好的 亲,好的 亲,好的亲，您申请就可以哦~,好的 你申请就可以,好的 亲,好的亲，您申请就可以哦~
"要猪肉肠衣,选那个呀","[{""role"":""user"",""content"":""发什么快递？""},{""role"":""user"",""content"":""什么时候发货？""},{""role"":""assistant"",""content"":""亲,我们会随机选择极兔、中通、邮政中的任意一家进行发货,不支持指定快递哦。""},{""role"":""user"",""content"":""要猪肉肠衣,选那个呀""}]","22,23","['问题：""我要猪肠衣"",答案：""可以的亲根据选项直接下单就可以哦""','问题：""是猪肠吗？"",答案：""亲 有猪肠和羊肠衣 您看下选项哦""','问题：""肠衣是不是猪的噢"",答案：""咱们有猪肠衣和羊肠衣,两个选项""','问题：""我这个买的是羊肠衣你们给我发的是猪肠衣"",答案：""这边看您订单是猪肠衣啊""','问题：""我以下单给发细的"",答案：""亲,您下单是猪肠衣""']","亲,猪肠衣口径3.8-4.0左右,羊肠衣口径1.8-2.2左右,您可以根据自己的需求选择哦。",亲，咱们有猪肠衣和羊肠衣，您看下选项哦。,1,亲 有猪肠和羊肠衣 您看下选项哦,1,亲，我们有猪肠衣和羊肠衣两个选项，您可以根据自己的需求选择哦~,1,亲，我们有猪肠衣和羊肠衣两种选择，您可以根据自己的口味和需求进行选择哦。,1,亲，我们有猪肠衣和羊肠衣两种选择，您可以根据自己的需求进行选择哦。,1,亲，我们有猪肠衣和羊肠衣两个选项，您可以根据自己的需求选择哦。,1,亲，一罐350g哦。但是没有的哦~,"亲,您可以直接下单猪肠衣哦。",1,亲，有猪肠衣和羊肠衣，您可以根据自己的需求选择哦。,1,亲，您可以直接下单哦，我们有猪肠衣和羊肠衣两个选项，您可以根据自己的需求选择哦。,1,亲，您可以直接选择猪肠衣哦。,亲，我们可以提供猪肠衣和羊肠衣，您可以根据自己的口味和需求选择哦。,亲，您可以直接下单哦。,根据选项下单哦,亲，您可以直接下单哦。,亲，您可以直接下单哦。
你好这个是粗的还是细的,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""你好这个是粗的还是细的""}]","22,23","['问题：""你好这个是粗的还是细的"",答案：""没有长短的规格哦,都是天然小肠,没办法保证长短粗细哦""','问题：""是粗的还是细的"",答案：""没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦""','问题：""粗的还是细的？"",答案：""猪肠衣的灌肠器是粗的 羊的是细的""','问题：""你告诉我这个数我也不知道是粗还是细我看你视频里有粗有细"",答案：""亲,猪肠衣是粗的,羊的是细的。""','问题：""粗细呢"",答案：""没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦亲""']","没有长短的规格哦,都是天然小肠,没办法保证长短粗细哦",亲，没有长短的规格哦，都是天然猪小肠，没办法保证长短粗细哦。,1,亲，猪肠衣是粗的，羊的是细的。,0,"没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦亲",1,亲，没有长短的规格哦，都是天然猪小肠，没办法保证长短粗细哦。,1,亲，这个都是天然猪小肠，没办法保证长短粗细哦。,1,亲，这个没有长短的规格哦，都是天然猪小肠，没办法保证长短粗细哦。,1,"亲，我们的产品是天然猪小肠，没办法保证长短粗细哦。
可以的哦亲。您看下哈。亲 可以参考下哦。",亲，猪肠衣是粗的，羊的是细的。,0,"没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦亲",1,亲，这个产品是天然猪小肠，没有长短的规格哦，没办法保证长短粗细哦。,1,"没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦亲","没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦亲","亲,猪肠衣是粗的,羊的是细的。","亲,猪肠衣是粗的,羊的是细的。","亲,猪肠衣是粗的,羊的是细的。","亲,猪肠衣是粗的,羊的是细的。"
请问一瓶有多重,"[{""role"":""user"",""content"":""请问一瓶有多重""}]","17, 18","['问题：""请问一瓶重量多少"",答案：""袋装500g 桶装400g 罐装300g 您根据选项拍亲""','问题：""这一瓶重量多少？"",答案：""亲,一罐300g哦。""','问题：""请问一瓶是多少克？"",答案：""袋装500g 桶装400g 罐装300g 您根据选项拍亲""','问题：""1瓶多重量"",答案：""亲,1瓶多重量是300g哦~""','问题：""请问一罐有多重？"",答案：""亲,一罐350g哦~""']",袋装500g 桶装400g 灌装300g 您根据选项拍的,袋装500g 桶装400g 罐装300g 您根据选项拍亲,1,袋装500g 桶装400g 罐装300g 您根据选项拍亲,1,袋装500g 桶装400g 罐装300g 您根据选项拍亲,1,袋装500g 桶装400g 罐装300g 您根据选项拍亲,1,袋装500g 桶装400g 罐装300g 您根据选项拍亲,1,袋装500g 桶装400g 罐装300g 您根据选项拍亲,1,"亲，一罐300g哦。具体都是一样的，400g哦。具体看下。
是的选项下单即可哈亲。具体有写的就送的哈亲。具体有写的就送的哈亲。具体有误差的哈亲。根据选项下单就可以发货，没有写的就送，可以放心哦。",袋装500g 桶装400g 罐装300g 您根据选项拍亲,1,亲，一罐500g哦。,0,袋装500g 桶装400g 罐装300g 您根据选项拍亲,1,袋装500g 桶装400g 罐装300g 您根据选项拍亲,袋装500g 桶装400g 罐装300g 您根据选项拍亲,袋装500g 桶装400g 罐装300g 您根据选项拍亲,袋装500g 桶装400g 罐装300g 您根据选项拍亲,袋装500g 桶装400g 罐装300g 您根据选项拍亲,袋装500g 桶装400g 罐装300g 您根据选项拍亲
"亲你好,袋和瓶斤数一样不","[{""role"":""user"",""content"":""亲你好,袋和瓶斤数一样不""}]","17, 18","['问题：""哦谢谢,我看评价有些说是300克一袋？"",答案：""亲 袋装是一袋一斤的哦""','问题：""亲,回购3袋那就是1500克是吗"",答案：""袋装是1袋1斤哈""','问题：""罐的和袋的量都一样多吗"",答案：""小麦胚芽,袋装是500g一袋,桶装是400g一桶,罐装是300g一罐。""','问题：""三袋三斤吗是袋装的吧"",答案：""袋装是1斤""','问题：""下单时看不到份量,就一大罐,这也太少了。还不如袋装呢？"",答案：""袋装是1斤的""']",袋装500g 桶装400g 灌装300g 您根据选项拍的,小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,0,"袋装是500g一袋,桶装是400g一桶,罐装是300g一罐。",1,袋装是1斤的,0,"小麦胚芽,袋装是500g一袋,桶装是400g一桶,罐装是300g一罐。",0,"小麦胚芽,袋装是500g一袋,桶装是400g一桶,罐装是300g一罐。",0,小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,0,亲，一罐300g哦。,袋装500g 桶装400g 灌装300g 您根据选项拍的,1,袋装是1斤的,0,小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,0,小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,袋装500g 桶装400g 灌装300g 您根据选项拍的,袋装500g 桶装400g 灌装300g 您根据选项拍的,袋装是1斤的,袋装500g 桶装400g 灌装300g 您根据选项拍的
发什么快递？,"[{""role"":""user"",""content"":""发什么快递？""}]",18,"['问题：""发什么快递？"",答案：""极兔、中通、邮政,不指定快递,仓库随机发""','问题：""发什么快递发什么快递？"",答案：""亲,发极兔、中通、邮政,不指定快递,仓库随机发哦~""','问题：""发什么快递？发什么快递？"",答案：""极兔、中通、邮政,不指定快递,仓库随机发""','问题：""[发什么快递]"",答案：""极兔 中通,邮政,不指定快递,仓库随机发的亲""','问题：""什么快递？"",答案：""极兔、中通、邮政,不指定快递,仓库随机发""']","极兔 中通,邮政,不指定快递,仓库随机发",亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,1,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,1,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,1,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,1,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,1,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,1,"不指定快递哈亲，发中通、极兔、邮政快递，仓库会选择适合您地区的快递发出呢。
不支持指定快递哦。有快递公司选择哦。有快递有极兔、中通、邮政，不指定快递，仓库随机发哦。
不支持指定快递哦。您看下快递公司。
亲，发中通、极兔、邮政快递，仓库会选择适合您地区的快递发出呢。
不支持指定快递哦。",亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,1,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,1,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,1,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,"亲,发极兔、中通、邮政,不指定快递,仓库随机发哦~","亲，发极兔、中通、邮政,不指定快递,仓库随机发哦~","亲，发极兔、中通、邮政,不指定快递,仓库随机发哦~","亲，发极兔、中通、邮政,不指定快递,仓库随机发哦~","亲，发极兔、中通、邮政,不指定快递,仓库随机发哦~"
真货？,"[{""role"":""user"",""content"":""真货？""}]","17, 18","['问题：""是正品吗"",答案：""您好,我们的产品都是正品哦,品质有保障的。""','问题：""有货吗？"",答案：""亲,我们是有货的,""','问题：""有货吗？"",答案：""亲亲,我们是有货的""','问题：""有货吗？"",答案：""亲亲,我们是有货的,下单后48小时内发出哈""','问题：""有货吗？"",答案：""能下单就是有货的哈""']","亲,我们的商品都是正品哦",您好，我们的产品都是正品哦，品质有保障的。,1,"您好,我们的产品都是正品哦,品质有保障的。",1,"您好,我们的产品都是正品哦,品质有保障的。",1,您好，我们的产品都是正品哦，品质有保障的。,1,您好，我们的产品都是正品哦，品质有保障的。,1,您好，我们的产品都是正品哦，品质有保障的。,1,好的亲。已备注哦。,"您好,我们的产品都是正品哦,品质有保障的。",1,亲，我们的产品都是真货哦，品质有保障的。,1,"亲，我们的产品都是正品哦,品质有保障的。",1,亲，我们的产品都是正品哦，品质有保障的。,您好，我们的产品都是正品哦，品质有保障的。,"亲亲，我们的产品都是正品哦,品质有保障的。",亲，我们的产品都是正品哦，品质有保障的。,亲亲，我们的产品都是正品哦，品质有保障的。,"亲亲，我们的产品都是正品哦,品质有保障的。"
"巧克力,香芋","[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""巧克力,香芋""}]","6, 18","['问题：""草莓,巧克力"",答案：""已备注""','问题：""巧克力奶茶和香芋奶茶"",答案：""已备注亲""','问题：""香芋和芒果味"",答案：""已备注""','问题：""我的是两包香芋和两包巧克力你们却发三包给我"",答案：""收到的呢亲几包错了""','问题：""巧克力、草莓,香芋,抹茶"",答案：""已备注""']",已备注,亲 已备注,1,亲 已备注,1,亲下单以后联系我们备注哈,1,亲 已备注,1,亲 已备注,1,亲下单以后联系我们备注哈,1,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,亲下单以后联系我们备注哈,1,已备注亲,1,亲 已备注,1,亲下单以后联系我们备注哈,已备注亲,亲下单以后联系我们备注哈,亲 已备注,已备注亲,亲下单以后联系我们备注哈
哪里发货,"[{""role"":""user"",""content"":""我已拼单成功,能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲 过年期间订单积压 仓库发货量大 仓库按照过年期间订单顺序发出 我们也会尽快的哦。""},{""role"":""user"",""content"":""我已拼单成功,能尽快帮我发货吗？""},{""role"":""user"",""content"":""哪天发货""},{""role"":""user"",""content"":""我已找拼多多催促发货,请尽快帮我发货""},{""role"":""assistant"",""content"":""亲 过年期间订单积压 仓库发货量大 仓库按照过年期间订单顺序发出 我们也会尽快的哦。""},{""role"":""user"",""content"":""不急,尽快就行""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""哪里发货""}]","17, 18","['问题：""从哪里发货"",答案：""山东枣庄发货的亲""','问题：""从哪里发货"",答案：""山东枣庄""','问题：""从哪里发货？"",答案：""很高兴为您服务,请问有什么可以帮您？""','问题：""好的哪里发货？"",答案：""好的亲�""','问题：""你们那里发货从哪发货"",答案：""亲亲,我们是在山东枣庄发货的哦。""']","亲,山东枣庄发货",亲亲，我们是在山东枣庄发货的哦。,1,亲亲，我们是在山东枣庄发货的哦。,1,亲亲，我们是在山东枣庄发货的哦。,1,"亲亲,我们是在山东枣庄发货的哦。",1,亲亲，我们是在山东枣庄发货的哦。,1,亲亲，我们是在山东枣庄发货的哦。,1,"亲亲，山东枣庄发货的亲。具体以快递时效为准哈亲。我们会尽快安排发货的。
亲，仓库按订单顺序发货哦。",亲亲，我们是在山东枣庄发货的哦。,1,"亲亲,我们是在山东枣庄发货的哦。",1,亲亲，我们是在山东枣庄发货的哦。,1,亲亲，我们是在山东枣庄发货的哦。,亲亲，我们是在山东枣庄发货的哦。,"亲亲,我们是在山东枣庄发货的哦。","亲亲,我们是在山东枣庄发货的哦。",亲亲，我们是在山东枣庄发货的哦。,"亲亲,我们是在山东枣庄发货的哦。"
咋没有杯子勺子,"[{""role"":""user"",""content"":""咋没有杯子勺子""}]",18,"['问题：""亲,我有杯怎么没有勺子"",答案：""亲 收到的时候 快递外包装有没有破损""','问题：""杯勺子咋没给带"",答案：""亲,这边帮您联系快递核重,您稍等""','问题：""这勺子都没有怎么办"",答案：""亲 可以用自己的勺子哦""','问题：""亲我买这个咋没有勺子哪"",答案：""看选项哦亲,选项上面有写的就送,没有写的就不送哦""','问题：""咋没有玻璃杯勺呢？"",答案：""看选项哦亲,选项上面有写的就送,没有写的就不送哦""']","看选项哦亲,选项上面有写的就送,没有写的就不送哦",看选项哦亲，选项上面有写的就送，没有写的就不送哦,1,看选项哦亲，选项上面有写的就送，没有写的就不送哦,1,亲，看选项哦亲，选项上面有写的就送，没有写的就不送哦,1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,亲，看选项哦亲，选项上面有写的就送，没有写的就不送哦,1,"亲，可能是打包的时候挤压导致的，不影响食用的哦。
感谢您的评价哈亲。您看下哈。亲。您看下哈亲。您看下哈。亲。您看下哈亲。您看下哈亲。您看下哈亲。您看下哈亲。您看下哈亲。您看下哈亲。给您补偿2元补偿可以吗。亲。质量都是一样的哈亲。您看为了给您有个好的购物体验，给您补偿2元可以吗。亲。如果说看到有评价有礼活动，那可能是官方活动，不是本","亲，看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,亲，看选项哦亲，选项上面有写的就送，没有写的就不送哦,1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,看选项哦亲，选项上面有写的就送，没有写的就不送哦,看选项哦亲，选项上面有写的就送，没有写的就不送哦,"看选项哦亲,选项上面有写的就送,没有写的就不送哦","看选项哦亲,选项上面有写的就送,没有写的就不送哦","看选项哦亲,选项上面有写的就送,没有写的就不送哦","看选项哦亲,选项上面有写的就送,没有写的就不送哦"
我发的这一款是三斤三袋咯,"[{""role"":""user"",""content"":""我发的图片是小麦胚芽吗？""},{""role"":""user"",""content"":""这款质量是一样吗？""},{""role"":""assistant"",""content"":""亲,袋装和瓶装的质量都是一样的哦,只是包装不同。""},{""role"":""user"",""content"":""我发的这一款是三斤三袋咯""}]","17, 18","['问题：""三袋三斤吗是袋装的吧"",答案：""袋装是1斤""','问题：""3袋3斤的吗我付款10.9元"",答案：""什么问题呢亲""','问题：""这个是袋装吗？三代三斤？"",答案：""亲,袋装是1斤哦~三袋3斤哈""','问题：""一袋是一斤装3袋三斤"",答案：""袋装500g 桶装400g 罐装300g 您根据选项拍亲""','问题：""你发这个干吗,不明白,三袋,3斤是净重吗"",答案：""一袋500g 亲""']",是的,袋装是1斤 您根据选项拍亲,0,亲，这款是三斤三袋哦~,1,袋装500g 桶装400g 罐装300g 您根据选项拍亲,0,亲，这款是三斤三袋哦~,1,袋装是1斤哦~,0,亲，这款是三袋三斤哦~,1,亲，一罐300g哦。,袋装500g 桶装400g 罐装300g 您根据选项拍亲,0,亲，一袋500g哦。,0,亲，这款是三袋三斤哦~,1,亲，根据选项下单哈,是的亲,亲，这款是三斤三袋哦~,袋装500g 桶装400g 罐装300g 您根据选项拍亲,亲，这款是三斤三袋哦~,亲，这款是三斤三袋哦~
发什么快递？,"[{""role"":""user"",""content"":""发什么快递？""}]","18, 8","['问题：""发什么快递？"",答案：""极兔 中通,邮政,不指定快递,仓库随机发的亲""','问题：""发什么快递？"",答案：""极兔、中通、邮政,不指定快递,仓库随机发""','问题：""发什么快递？"",答案：""亲,我们有极兔、中通、邮政等多种快递选择,随机发货哦。不指定快递的亲~""','问题：""发什么快递？"",答案：""亲,我们有极兔、中通、邮政等多种快递选择,随机发货哦。不支持指定快递公司哦~""','问题：""发什么快递"",答案：""极兔 中通,邮政,不指定快递,仓库随机发的亲""']","极兔 中通,邮政,不指定快递,仓库随机发","亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。
不支持指定快递公司哦~",1,"亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。
不支持指定快递公司哦~",1,"亲,我们有极兔、中通、邮政等多种快递选择,随机发货哦。
不支持指定快递公司哦~",1,"亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。
不支持指定快递公司哦~",1,"亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。
不支持指定快递公司哦~",1,"亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。
不支持指定快递公司哦~",1,"不支持指定快递亲，发中通、极兔、邮政快递，仓库会选择适合您地区的快递发出呢。
不支持指定快递公司，我们不敢保证快递哦。
不支持指定快递哦。
仓库会根据您的地址选择合适的快递公司，仓库随机发的亲。
不支持指定快递哦。
不支持指定快递公司哦。
不支持指定快递公司哦。
不支持指定快递公司哦。
不支持指定快递公司哦。
不支持指定快递公司哦。
不支持指定快递公司哦。
不支持指定快递公司哦。
不支持","亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。
不指定快递的亲~",1,亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。不支持指定快递公司哦~,1,"亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。
不支持指定快递公司哦~",1,"亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。
不支持指定快递公司哦~","亲,我们有极兔、中通、邮政等多种快递选择,随机发货哦。
不指定快递的亲~","亲,我们有极兔、中通、邮政等多种快递选择,随机发货哦。
不支持指定快递公司哦~","亲，我们有极兔、中通、邮政等多种快递选择，随机发货哦。
不支持指定快递公司哦~","亲,我们有极兔、中通、邮政等多种快递选择,随机发货哦。
不支持指定快递公司哦~","亲,我们有极兔、中通、邮政等多种快递选择,随机发货哦。
不支持指定快递公司哦~"
不可以指定极兔吗？,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""极兔 中通,邮政,不指定快递,仓库随机发""},{""role"":""user"",""content"":""不可以指定极兔吗？""}]","18, 8","['问题：""可以备注极兔吗？"",答案：""极兔、中通、邮政,不指定快递,仓库随机发""','问题：""请不要极兔快递"",答案：""亲,不支持指定快递哦,已发出是极兔的""','问题：""我知道不指定,可是极兔这边罢工没人送,我昨天才退掉你们又发极兔"",答案：""实在抱歉亲咱这边没法指定""','问题：""不要发极兔可以吗我这边极兔好像倒闭了"",答案：""没法指定哈亲""','问题：""亲发极兔好的"",答案：""不支持指定哈""']",不可以哦,亲，不支持指定快递哦，已发出是极兔的。,1,亲，极兔、中通、邮政，不指定快递，仓库随机发哦。,1,亲，不可以指定快递哦，仓库随机发货呢~,1,亲，不可以指定极兔哦，已发出是极兔的。,1,亲，不支持指定快递哦，已发出是极兔的。,1,亲，我们不支持指定快递哦,1,"亲，发中通、极兔、邮政快递，仓库会选择适合您地区的快递发出呢。
不支持指定快递公司哦。您看下哈。您看下哈亲。您看下哈。您看下哈亲。您看为了给您补偿2元可以吗。
不支持指定哈亲。您看下哈。亲。有专人处理的哈亲。您看下哈亲。您看下哈亲。您看为了给您补偿2元可以吗。
不支持指定哈亲。您看下哈。您看下哈亲。您看为了给您",亲，不支持指定快递哦，已发出是极兔的。,1,亲，不支持指定快递哦，已发出是极兔的。,1,亲 不支持指定快递哦,1,亲 不支持指定快递哦,亲 不支持指定快递哦,亲 不支持指定快递哦,亲 不支持指定快递哦,亲 不支持指定快递,亲 不支持指定快递哦
请问一下是纯山药粉吗？,"[{""role"":""user"",""content"":""请问一下是纯山药粉吗？""}]",18,"['问题：""请问你们的山药粉,是属于去皮熟山药粉吗？产地在何处？"",答案：""亲,我们公司在山东枣庄,山药产地是温县怀山药哈""','问题：""你好你们发的山药粉,怎么没有山药味"",答案：""亲亲,我们家的山药粉口感和味道都是很好的""','问题：""这个粉可以吗含糖吗？"",答案：""无蔗糖的 本身含糖""','问题：""你这个铁棍山药粉是河南温县的吗？"",答案：""山东枣庄发货的亲""','问题：""是不是熟粉？"",答案：""是的亲熟的哈冲泡即可食用""']",是的,亲，我们的山药粉是纯山药粉，不添加任何其他成分哦~,1,亲，我们的山药粉是纯山药粉，不添加任何其他成分哦~,1,是的亲，我们的山药粉是纯山药粉哦。,1,亲亲，我们的山药粉是纯山药粉，不添加任何其他成分哦~,1,亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,0,亲亲，是的，我们的山药粉是纯山药粉哦。,1,亲，一罐300g哦~,亲亲，是的，我们的山药粉是纯山药粉哦。,1,是的亲，我们的山药粉是纯山药粉，不添加任何其他成分。,1,亲，是的，我们的山药粉是纯山药粉哦~,1,亲亲，是的，我们的山药粉是纯山药粉哦~,亲亲，是的，我们的山药粉是纯山药粉哦~,亲亲，是的，我们的山药粉是纯山药粉哦~,亲 是的哦,亲亲，是的，我们的山药粉是纯山药粉哦~,亲亲，是的，我们的山药粉是纯山药粉哦~
是新日期吗？,"[{""role"":""user"",""content"":""请问一下是纯山药粉吗？""},{""role"":""assistant"",""content"":""是的""},{""role"":""user"",""content"":""好下单""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""5桶是5斤吗？""},{""role"":""user"",""content"":""好""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""是新日期吗？""}]",18,"['问题：""这是生产日期吗？"",答案：""好的亲这边帮您反馈一下""','问题：""<运营问题>日期新鲜吗？"",答案：""都是近期的""','问题：""发什么快递？是新的日期吗"",答案：""亲,我们发极兔、中通、邮政快递,不指定快递,仓库随机发哦~""','问题：""亲我下单了都是新日期包运费险的吧？"",答案：""亲 日期是近期的""','问题：""这个日期是近期的,可以"",答案：""亲 确认收货后与我们联系哦""']","亲,我们的商品都是近期生产",亲，日期是近期的,1,亲，我们的商品都是新日期的哦~,1,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,1,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,1,亲，日期都是近期的哦~,1,亲，我们的商品都是新日期的哦~,1,"好的亲。具体以快递时效为准哈亲。您拍下哈亲。我们会尽快安排的哈。
感谢您的支持发货的亲。我们会尽快发货的哈亲。",亲，我们的商品都是新日期哦~,1,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,1,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,1,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,亲，我们的商品都是新日期的哦~,亲，我们的商品都是新日期的哦~,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~
"我下单了,叫张晓丽的,买了5桶","[{""role"":""user"",""content"":""请问一下是纯山药粉吗？""},{""role"":""assistant"",""content"":""是的""},{""role"":""user"",""content"":""好下单""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""5桶是5斤吗？""},{""role"":""user"",""content"":""好""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""是新日期吗？""},{""role"":""assistant"",""content"":""亲,我们的商品都是近期生产""},{""role"":""user"",""content"":""我下单了,叫张晓丽的,买了5桶""}]",18,"['问题：""是一斤的一桶我买了"",答案：""亲,一桶的重量是500g哦~""','问题：""下单了四斤"",答案：""亲,下单后48小时内会发货哦,具体发货时间以物流信息为准哈。""','问题：""我已经下单了"",答案：""看下亲""','问题：""29元6角5分,共几罐"",答案：""您的订单是5罐亲""','问题：""下单了"",答案：""已备注亲""']","好的,亲",好的亲。已备注,1,好的亲。已备注,1,好的亲,1,好的 亲,1,好的,1,好的,1,"亲，一罐300g哦。具体以快递时效为准哈亲。具体以快递时效为准哈亲。具体有写的就送的亲。具体有写的就不送哈亲。具体有写的就不送，没有写的就不送哦。
感谢您的意思呢亲。具体有写的就送，没有写的就不送哦。具体有写的就不送，可以按写的就不送哦。
可以参考看下哈亲。具体看为了看下哈亲 这边给您补偿2元可以吗。",好的亲,1,好的,1,亲，已备注哦，5桶山药粉,0,好的,亲，已备注您的订单哦~,好的,好的,好的,好的
