q,que,ai_answer,actual_send_answer,kb_ids,new_refer,order_status,refund_status,Unnamed: 0
再试一次，不行就全部退了。,"[{""role"":""user"",""content"":""无语""},{""role"":""user"",""content"":""再试一下，一包都用一半了。""},{""role"":""assistant"",""content"":""亲 您可以少用一点试下看看效果哦""},{""role"":""user"",""content"":""[晕]""},{""role"":""user"",""content"":""一个模具要200ml的水""},{""role"":""user"",""content"":""那比例是不是要放33g的粉？""},{""role"":""assistant"",""content"":""亲 水也需要称重""},{""role"":""user"",""content"":""再试一次，不行就全部退了。""}]",好的,,18,"['问题：""那好吧，那好吧，我再试一下，要是不行的话，我就要退款。"", 答案：""再试下哈亲""', '问题：""如果不行就退了吧"", 答案：""好的 我联系退回""', '问题：""那我明天再试一下，要是不行，我要退款。"", 答案：""您再试下哦""', '问题：""退剩的？那其他的呢我在试试"", 答案：""已经使用的没法退哈""', '问题：""呵呵不行退了吧"", 答案：""亲 申请4元的补偿可以吗""', '问题：""不退了待能发时再发吧。"", 答案：""亲亲，可以的""', '问题：""不行，实在不行给你退回去吧"", 答案：""实在抱歉给您带来不好的体验，如果您实在不满意的话您可以申请退货退款，商品退回。""', '问题：""一共三包现在打开一包了也可以退吗？"", 答案：""亲可以退剩下的哦""']",,,
尽快哈血糖高能吃是吗,"[{""role"":""user"",""content"":""哦哦""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""},{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲，下单48小时内发货哦~""},{""role"":""user"",""content"":""尽快哈""},{""role"":""user"",""content"":""尽快哈血糖高能吃是吗""}]",亲，建议先咨询下医生哦~,无添加蔗糖的哈,18,"['问题：""哦，血糖高多人能吃不"", 答案：""建议咨询医生哈""', '问题：""有糖吗？我血糖高的"", 答案：""零添加蔗糖哈亲但是产品本身含有一定的糖份哦""', '问题：""高血糖可以吃太甜了不能吃"", 答案：""实在抱歉给您带来不好的体验，如果您实在不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""糖友能吃吗"", 答案：""建议咨询医生哈""', '问题：""亲，糖尿病人吃，血糖升高？"", 答案：""零添加蔗糖哈""', '问题：""糖尿病人能吃吗"", 答案：""亲 建议咨询医生哦""', '问题：""糖尿病人可以吃吗"", 答案：""亲，不建议糖尿病人食用哦。""', '问题：""糖尿病人能吃吗？"", 答案：""亲，建议先咨询下医生""']",,,
那不行的。我这运费我15元的,"[{""role"":""user"",""content"":""退货期限多久呢，等五天左右去拿快递时去寄行不""},{""role"":""assistant"",""content"":""可以的""},{""role"":""user"",""content"":""嗯""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""assistant"",""content"":""好的""},{""role"":""user"",""content"":""退货运费15元""},{""role"":""assistant"",""content"":""以平台补贴为准哈""},{""role"":""user"",""content"":""你这山东要15元的""},{""role"":""assistant"",""content"":""以平台补贴为准哈""},{""role"":""user"",""content"":""那不行的。我这运费我15元的""}]",亲 您自己补3元可以吗,亲 没有额外的补贴哦,18,"['问题：""我不适合吃的，能退吗？"", 答案：""亲 可以的哦 运费自理""', '问题：""你好，运费已经超5块"", 答案：""亲 以平台补贴为准""', '问题：""运费不够需12元"", 答案：""以平台补贴为准哈""', '问题：""算啦，发过去9块钱的运费就不够，我也白跑腿多花钱"", 答案：""好的""', '问题：""老板你给我发这个货，也不跟你图片那一样啊。那运费你给多钱呢，人家要十五块钱，你怎么整？"", 答案：""以平台补贴为准哈亲""', '问题：""邮费怎么算？"", 答案：""包运费的""', '问题：""免快递费吧！"", 答案：""包运费的""', '问题：""退货这个运费不够得10快"", 答案：""以平台补贴为准哈""']",,,
加的葡萄糖糖尿病人,"[{""role"":""user"",""content"":""糖尿病人能食用吗？""},{""role"":""assistant"",""content"":""咨询医生哈亲""},{""role"":""user"",""content"":""加的葡萄糖糖尿病人""}]",亲 建议您咨询下医生,亲建议先咨询下医生哦,18,"['问题：""加糖吗？我有糖尿病。"", 答案：""咨询医生哈亲""', '问题：""我是糖尿病人"", 答案：""咨询医生哈亲""', '问题：""额外加糖了吗？我有糖尿病需慎用。"", 答案：""亲，我们的产品零添加蔗糖哦，只有商品本身赋有的糖份""', '问题：""亲，糖尿病人吃，血糖升高？"", 答案：""零添加蔗糖哈""', '问题：""糖尿病人可用吗"", 答案：""亲，不建议糖尿病人食用哦。您也可以咨询下医生""', '问题：""你这本身有没有甜味？"", 答案：""本身含糖的""', '问题：""请问商家可以放糖吗？还是里面含着糖的不好意思，在麻烦问一下"", 答案：""本身含糖的""', '问题：""甜不甜"", 答案：""本身含糖的亲""']",,,
好的谢谢,"[{""role"":""user"",""content"":""布丁粉要芒果和牛奶味的""},{""role"":""assistant"",""content"":""亲 已备注""},{""role"":""user"",""content"":""好的谢谢""}]",亲，不客气哦~,亲，不客气哦~,18,"['问题：""好的 谢谢"", 答案：""不客气""', '问题：""好的谢谢"", 答案：""好的亲🌹""', '问题：""好的谢谢"", 答案：""拍下随意搭配的选项后与我们联系""', '问题：""好的谢谢"", 答案：""感谢支持""', '问题：""好的谢谢"", 答案：""不客气""', '问题：""好的谢谢"", 答案：""客气了亲""', '问题：""好的谢谢了"", 答案：""好的亲申请以后记得联系我拦截哈""']",,,
老板布丁我要草莓跟芒果这两个味道,"[{""role"":""user"",""content"":""老板布丁我要草莓跟芒果这两个味道""}]",亲 已备注,,18,"['问题：""这个买一送一的要芒果和草莓口味老板"", 答案：""亲，已备注哦~""', '问题：""草莓芒果两个口味"", 答案：""已备注""', '问题：""要草莓味和芒果味别发错了"", 答案：""亲，已备注哦~""', '问题：""老板我已经下单了，我想要草莓和芒果味忘了备注了"", 答案：""亲，已帮您备注，我们会尽快为您发货哦~""', '问题：""我要芒果跟草莓味的"", 答案：""备注了亲""', '问题：""老板，我要牛奶和芒果味的"", 答案：""已备注""', '问题：""能自己选味道么芒果和草莓的吧"", 答案：""已备注""', '问题：""芒果味和草莓味麻烦老板备注下"", 答案：""亲 已备注""']",,,
牛奶草莓,"[{""role"":""user"",""content"":""牛奶草莓""}]",亲 已备注,亲 已备注,18,"['问题：""牛奶+草莓"", 答案：""亲，已备注~""', '问题：""草莓"", 答案：""亲 拍下生产日期""', '问题：""芒果草莓抹茶牛奶"", 答案：""已备注""', '问题：""牛奶和草莓要这两个口味"", 答案：""亲，已备注~""', '问题：""牛奶味和草莓味"", 答案：""好的 亲 已备注""', '问题：""草莓牛奶味各一斤谢谢"", 答案：""亲 已备注""', '问题：""要牛奶和草莓两个味道"", 答案：""亲 已备注""', '问题：""草莓吧"", 答案：""亲 您拍的这个选项不支持备注 可以拍随意搭配的选项哦""']",,,
你好,"[{""role"":""user"",""content"":""你好""}]",,很高兴为您服务，请问有什么可以帮您？,18,"['问题：""对"", 答案：""好的稍等""', '问题：""对"", 答案：""亲建议您增加打发时间试试哦""', '问题：""对"", 答案：""已备注""', '问题：""对"", 答案：""嗯嗯""', '问题：""直接给快递员吗？"", 答案：""对的""', '问题：""开水到粉里的必须用电动打蛋器吗"", 答案：""对的""', '问题：""祛湿减小肚子哪一个你发的这个吗"", 答案：""对的""', '问题：""你给我发的是500克的呀"", 答案：""对的""']",,,
我已经拼单成功4小时，能尽快帮我发货吗？我已经拼单成功4小时，能尽快帮我发货吗？,"[{""role"":""user"",""content"":""我已经拼单成功4小时，能尽快帮我发货吗？""},{""role"":""user"",""content"":""我已经拼单成功4小时，能尽快帮我发货吗？我已经拼单成功4小时，能尽快帮我发货吗？""}]",亲亲，正常48小时内发货呢~,亲亲，正常48小时内发货呢~,18,"['问题：""我已经拼单成功5小时，能尽快帮我发货吗？我已经拼单成功5小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢~""', '问题：""我已经拼单成功3小时，能尽快帮我发货吗？我已经拼单成功3小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢~""', '问题：""我已经拼单成功2小时，能尽快帮我发货吗？我已经拼单成功2小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢。""', '问题：""我已经拼单成功2小时，能尽快帮我发货吗？我已经拼单成功2小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢""', '问题：""我已经拼单成功9小时，能尽快帮我发货吗？我已经拼单成功9小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢~""', '问题：""我已经拼单成功16小时，能尽快帮我发货吗？我已经拼单成功16小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢~""', '问题：""我已经拼单成功10小时，能尽快帮我发货吗？我已经拼单成功10小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢。""', '问题：""我已经拼单成功10小时，能尽快帮我发货吗？我已经拼单成功11小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢。""']",,,
你不会备注吗,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""user"",""content"":""老板""},{""role"":""assistant"",""content"":""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""},{""role"":""user"",""content"":""可以发邮政吗""},{""role"":""assistant"",""content"":""没法指定哈""},{""role"":""user"",""content"":""你不会备注吗""}]",指定不了哈,指定不了哈,18,"['问题：""我知道啊，你帮我备注一下好吗？这样仓库人员看到会及时发出的"", 答案：""不支持备注""', '问题：""你好忘记备注了"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""牛奶味，和芒果味"", 答案：""备注了亲""', '问题：""芒果+香芋各2斤"", 答案：""备注了亲""', '问题：""我要芒果跟草莓味的"", 答案：""备注了亲""', '问题：""在吗我刚刚拍了一单，买一送一，我要草莓味和牛奶味"", 答案：""备注了亲""', '问题：""我要芒果跟香芋味儿"", 答案：""备注了亲""', '问题：""[请确认消费者订单备注][请确认消费者订单备注]"", 答案：""备注了亲""']",,,
你这么说，我还通过平台解决此事。,"[{""role"":""user"",""content"":""你家这款产品。没法给你退。""},{""role"":""user"",""content"":""你自己看看图片，对比一下子。看看哪个是真哪是假。""},{""role"":""assistant"",""content"":""亲 我们是正规厂家生产的""},{""role"":""user"",""content"":""你说的正规厂家。但是你的黄瓜子粉出现问题。""},{""role"":""assistant"",""content"":""亲 我们是正品哦""},{""role"":""user"",""content"":""你不用跟我说是正品，你家就是假冒商品。""},{""role"":""user"",""content"":""货我肯定不能给你邮，不能让你再欺骗消费者。""},{""role"":""assistant"",""content"":""亲 我们是纯黄瓜籽粉哦""},{""role"":""user"",""content"":""你这么说，我还通过平台解决此事。""}]",亲 我们是纯正黄瓜籽粉的,🌹,18,"['问题：""可以被快递摔变形了，"", 答案：""这个平台已经处理了""', '问题：""申请平台处理"", 答案：""亲亲，如果您实在不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""你们就拿平台说事儿"", 答案：""亲 这个不是我们补贴 是平台补贴""', '问题：""我这边看不见退货地址了，重新发我一下呗"", 答案：""亲这个平台已经介入退款成功了呢""', '问题：""那你们自己找人来提货啊"", 答案：""平台已经处理退款了哈""', '问题：""你告诉我一下，怎么联系平台客服啊？怎么联系平台客服啊？"", 答案：""亲 进入拼多多首页 有官方客服的选项""', '问题：""你们还是袋儿装，还不是罐儿装，还要9块9。我搁你家买货，怎么享受别的平台的"", 答案：""享受平台优惠了亲""', '问题：""<投诉问题>我不满意你们的解决方案，我要找平台投诉"", 答案：""尽量满足买家需求""']",,,
发票好了吗,"[{""role"":""user"",""content"":""开发票""},{""role"":""assistant"",""content"":""亲，您好，可以开电子发票哦，您收到货确认收货之后 提供下邮箱，开据电子发票发送给您~""},{""role"":""user"",""content"":""发票信息:上海韵荟餐饮管理有限公司\n税号:91310113MA1GNRJ70T\n邮箱1733414860@qq.com""},{""role"":""assistant"",""content"":""好的""},{""role"":""user"",""content"":""发票好了吗""}]",稍等,,18,"['问题：""开发票"", 答案：""亲，您好，可以开电子发票哦，您收到货确认收货之后 提供下邮箱，开据电子发票发送给您~""', '问题：""你好，发票啥时候开好"", 答案：""您看下邮箱亲""', '问题：""申请发票"", 答案：""亲 提供下邮箱""', '问题：""有收据吗"", 答案：""亲 需要开收据是吗""', '问题：""什么时候开发票啊"", 答案：""问下财务哈亲""', '问题：""好的需要开发票"", 答案：""亲 您收到后确认不退换的情况下 可以与我们联系 提供开票信息哦。""', '问题：""发票申请发票"", 答案：""亲，您好，可以开电子发票哦，提供下邮箱，开据电子发票发送给您~""', '问题：""发票申请发票"", 答案：""亲 提供下邮箱""']",,,
亲收到了货，开了一瓶，吃起来好像加了很多米粉似的，山药含量少的,"[{""role"":""user"",""content"":""亲收到了货，开了一瓶，吃起来好像加了很多米粉似的，山药含量少的""}]",亲亲，我们的山药粉是纯山药粉哦，没有添加米粉。您如果喝不习惯可以申请退货退款亲。,亲亲，我们的山药粉是纯山药粉哦，没有添加米粉。,18,"['问题：""亲货收到了，可是打开有一股捂得味道，冲了一杯喝，有点辣嗓子"", 答案：""您如果喝不习惯可以申请退货退款亲""', '问题：""这边那天收到快递是单独一瓶的小包装，我这个是买给老人吃的，今天回来才知道只收到一瓶！"", 答案：""亲这边您申请退一罐的价格您看可以吗""', '问题：""还没有吃但是你那个包装和重量太不配了，像吃过一样，幸亏是密封的发个红包"", 答案：""什么意思亲""', '问题：""您好！一罐是多少有其它添加吗？有没有糖"", 答案：""亲，一罐500，没有添加糖哦。商品本身会含有糖分""', '问题：""买过几种山东产品，里面都没加。商品详情里没有含量"", 答案：""亲亲，配料表可以参考评论区，实物图""', '问题：""你好、货收到，你这量也太少了吧！不是大罐的吗？"", 答案：""亲，一罐350g哦。""', '问题：""我的第二单收到了，今天才开始吃，为啥这次冲的发青，不像上次那样白，小疙瘩多，喝着感觉像淀粉，和前次买的口感不一样"", 答案：""亲亲，我们这边都是新鲜制作的哦，可能因为天气或者温度的原因，口感会有所不同。""', '问题：""货到了少了2包对我买了2袋啊一共6包"", 答案：""稍等亲 我联系快递核重""']",,,
一共二元啊还是四元,"[{""role"":""assistant"",""content"":""亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。""},{""role"":""user"",""content"":""还有一个就是凹下去了""},{""role"":""assistant"",""content"":""亲，抱歉呢 快递运输途中挤压造成的 不影响食用的哦 给您补偿2元可以吗。""},{""role"":""user"",""content"":""好的""},{""role"":""assistant"",""content"":""亲 确认收货后与我们联系哦""},{""role"":""user"",""content"":""那就付款了""},{""role"":""assistant"",""content"":""亲 确认收货后这边返给您2元哦""},{""role"":""user"",""content"":""一共二元啊还是四元""}]",一共2元,一共2元,18,"['问题：""那就四元"", 答案：""抱歉亲我这边权限只能3元呢""', '问题：""就四元"", 答案：""亲亲，如果您对收到的商品不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""4元"", 答案：""行吧 确认收货之后联系我""', '问题：""不是返2元吗"", 答案：""亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦。""', '问题：""洒了包装袋里面都是"", 答案：""可以申请2元""', '问题：""是不是给我在返回来2元"", 答案：""确认下亲""', '问题：""3.5元行不行吧"", 答案：""亲，确认收货以后联系我们帮您处理哈""', '问题：""总共是3 斤还是四斤"", 答案：""亲亲，总共是2斤哦~""']",,,
我已拼单成功，能尽快帮我发货吗？,"[{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""}]",亲亲，下单48小时内发货哦~,亲亲，下单48小时内发货哦~,18,"['问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""下单48小时内发货亲""', '问题：""我已拼单成功，能尽快帮我发货吗？急"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的👌"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？请发货。"", 答案：""亲亲，下单48小时内发货哦~""']",,,
那你明天早点发货,"[{""role"":""user"",""content"":""我已经拼单成功4小时，能尽快帮我发货吗？""},{""role"":""user"",""content"":""我已经拼单成功4小时，能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲，正常48小时内发货呢~""},{""role"":""user"",""content"":""那你明天早点发货""}]",亲亲，我们会尽快的哦~,亲亲，我们会尽快的哦~,18,"['问题：""那您尽早发货"", 答案：""我们会尽快的哦""', '问题：""给我快点发货"", 答案：""亲 麻烦您申请下退款哦""', '问题：""好尽快发货"", 答案：""好的 亲""', '问题：""那你们不就发货了吗？那个时候就迟了"", 答案：""亲亲这边帮您登记更改了哦""', '问题：""好的尽快发货"", 答案：""亲亲，正常48小时内发货呢""', '问题：""明天发货吗"", 答案：""下单48小时内发货亲""', '问题：""明天能发货吗"", 答案：""下单48小时内发货亲""', '问题：""今天发货"", 答案：""亲 不支持指定发货时间""']",,,
我收到只有三包哦,"[{""role"":""user"",""content"":""我收到只有三包哦""}]",亲，两个包裹发出的哈~,,18,"['问题：""亲怎么只有三包"", 答案：""亲 分两个包裹发出的 您收到价格""', '问题：""我只收到一个只有5包500g的"", 答案：""亲，两个包裹发出的哈""', '问题：""我只收到一个包裹，只有3包一包500克，也就只有1500克"", 答案：""亲 两个包裹发出的哦""', '问题：""我只收到了5个！23包！"", 答案：""亲这边帮您反馈给快递了哈耐心等下""', '问题：""4斤为啥只有三包"", 答案：""亲 两个包裹发出的哦""', '问题：""我这里有2个单但是只收到了一包"", 答案：""可以申请一下退款哈亲""', '问题：""为啥只有3袋"", 答案：""两个包裹发出的亲""', '问题：""才三包？"", 答案：""两个包裹亲""']",,,
着急用，能不能帮我现在发吗？谢谢,"[{""role"":""user"",""content"":""着急用，能不能帮我现在发吗？谢谢""}]",亲亲，我们会尽快为您发货的哦~,亲亲，我们会尽快为您发货的哦~,18,"['问题：""能帮忙今天发出吗？急用的"", 答案：""下单48小时内发货亲""', '问题：""能早点发吗。急用"", 答案：""亲亲，下单后的48小时内陆续发货哦~""', '问题：""好的，核实好了请尽快给我补发，我还着急用呢谢谢"", 答案：""好的，这边核实以后会尽快处理的""', '问题：""帮我加急发货谢谢"", 答案：""下单48小时内发货亲""', '问题：""快点发货把我急用几天能到"", 答案：""亲亲，我们会尽快为您发货的哦~""', '问题：""怎么还没有发过来，着急用"", 答案：""亲 稍等""', '问题：""急用，"", 答案：""亲亲，会尽快安排发货的哈~""', '问题：""今天能发吗"", 答案：""亲 不能保证的哦""']",,,
成份配料表发过来,"[{""role"":""user"",""content"":""没有其它的任何成分么？""},{""role"":""assistant"",""content"":""亲亲，我们的黄瓜籽粉是纯老黄瓜籽磨的粉哦~""},{""role"":""user"",""content"":""成份表发过来""},{""role"":""user"",""content"":""无糖的么？""},{""role"":""user"",""content"":""糖尿病老人可以喝么？""},{""role"":""assistant"",""content"":""咨询医生哈亲""},{""role"":""user"",""content"":""无糖的么？""},{""role"":""assistant"",""content"":""亲亲，我们的商品都是无蔗糖的 只有商品本身富有的糖份的哦~""},{""role"":""user"",""content"":""成份配料表发过来""}]",亲亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,亲亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈,"18,8","['问题：""配料表发过来我看看"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""把配料表发我一下"", 答案：""拍下收到可以看下""', '问题：""配料表看一下"", 答案：""亲 我们这边没有实物 您可以参考下评论区哦""', '问题：""配料表看一下"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""把你们的详细配料表发给我"", 答案：""亲商品上有哈""', '问题：""能发一下配料表吗"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""能把配料表看看吗？"", 答案：""亲 我们暂时没有哈 可以参考下评论区""', '问题：""请出示配料表"", 答案：""可以参考看下""', '问题：""配料表有么"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""有配料表么"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""']",,,
我已拼单成功，能尽快帮我发货吗？,"[{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""}]",亲亲，下单48小时内发货哦~,,18,"['问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""下单48小时内发货亲""', '问题：""我已拼单成功，能尽快帮我发货吗？急"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的👌"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？请发货。"", 答案：""亲亲，下单48小时内发货哦~""']",,,
好的,"[{""role"":""user"",""content"":""怎么制作""},{""role"":""assistant"",""content"":""亲 参考下哦""},{""role"":""assistant"",""content"":""亲 已备注""},{""role"":""user"",""content"":""好的""}]",,好的亲🌹,18,"['问题：""无糖的有不"", 答案：""零添加蔗糖哈亲但是产品本身含有一定的糖份哦""', '问题：""我要不含糖的可以吗？"", 答案：""零添加蔗糖哈亲但是产品本身含有一定的糖份哦""', '问题：""有无糖的吗"", 答案：""亲。商品零添加蔗糖的，只有商品本身富有的糖份哈""', '问题：""含糖吗？"", 答案：""零添加蔗糖哈亲但是产品本身含有一定的糖份哦""', '问题：""含糖吗？"", 答案：""无蔗糖的""', '问题：""是无糖的吗？"", 答案：""无蔗糖的亲""', '问题：""好的没有甜味的吧，不含糖吗"", 答案：""零添加蔗糖哈产品本身可能含有一定的糖份""', '问题：""含糖吗哪里发货无糖的吧"", 答案：""亲亲，零添加蔗糖，只有商品本身赋有的糖份哈~""', '问题：""你这产品是不含糖的？"", 答案：""亲 实际口感会甜哦""', '问题：""是无糖的吗"", 答案：""零添加蔗糖亲。但是商品本身富有糖份哈""']",,,
熟粉闻着是香的，打开闻着一点香味都没有，麸炒的熟粉颜色是带黄色的。收到的货是纯白色没香味。,"[{""role"":""user"",""content"":""商家你好！我要的是熟三药粉，收到的确是生粉呢！""},{""role"":""assistant"",""content"":""亲亲，熟的哈热水冲泡即可""},{""role"":""user"",""content"":""熟粉闻着是香的，打开闻着一点香味都没有，麸炒的熟粉颜色是带黄色的。收到的货是纯白色没香味。""}]",亲咱这边都是严格把控质量发货的哈保证质量的哦,亲 我们是低温烘焙,18,"['问题：""你看这黄子粉也不纯呐，都没有黄瓜味的啥玩意，我上次买的都有黄瓜籽味，这一点味都没有。"", 答案：""亲亲，纯黄瓜籽粉哦""', '问题：""这颜色包起来还行，煮熟了太难看了这颜色一点都不一正"", 答案：""亲天然果蔬粉热水煮以后颜色变化很正常的哈""', '问题：""在咱这买了好几回椰冻粉，白色包装的这个怎么不白？出来有种黄绿的颜色"", 答案：""没有明白您的意思哈亲。是商品黄绿色吗？""', '问题：""芒果味的味道一点都不好吃了，颜色也怪怪的跟以前的不像了"", 答案：""亲，我们的芒果味产品都是经过严格检验的，味道和颜色都是正常的。如果您觉得味道不好，可以服申请退货退款哦。""', '问题：""打开袋子，红的，黄的，基本都一个色，你说怎么搅匀"", 答案：""尽量多揉一揉试下哈""', '问题：""我买了你们这个货回来打开冲了一看什么味啊，一股爆米面的味，我要退货。"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""草莓酸粉打出来一点都不粉，没有粉红色，有只有一点点没什么草莓香味"", 答案：""亲咱这是没有添加剂的哈颜色比较浅正常的哦""', '问题：""但是吃起来味道是不一样的而且香味也没有我想要那个老包装的，这个包装不行"", 答案：""亲 不会哦 只是包装不同 商品都是一样的""']",,,
我已经拼单成功11小时，能尽快帮我发货吗？,"[{""role"":""user"",""content"":""我已经拼单成功11小时，能尽快帮我发货吗？""}]",亲亲，正常48小时内发货呢。,亲亲，正常48小时内发货呢。,18,"['问题：""我已经拼单成功10小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢""', '问题：""我已经拼单成功16小时，能尽快帮我发货吗？"", 答案：""下单48小时内发货亲""', '问题：""我已经拼单成功19小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢""', '问题：""我已经拼单成功4小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢""', '问题：""我已经拼单成功2小时，能尽快帮我发货吗？"", 答案：""亲亲，正常48小时内发货呢""', '问题：""我已经拼单成功2小时，能尽快帮我发货吗？"", 答案：""下单48小时内发货亲""']",,,
里面的粉，净含量是多少呀,"[{""role"":""user"",""content"":""你好""},{""role"":""user"",""content"":""这个一桶，净重多少呀""},{""role"":""user"",""content"":""里面的粉，净含量是多少呀""}]",亲，可以参考商品详情页或者评论区看下哈,,"18,8","['问题：""咋没有净含量是多少呢？"", 答案：""亲，一罐500g哦。""', '问题：""净含量多少克净含量多少克"", 答案：""亲，一罐的重量是500g哦~""', '问题：""这个粉的比例是多少"", 答案：""亲，这个粉的比例是1:6哦""', '问题：""净重多少？粉炅多少"", 答案：""亲 不清楚 我们没有具体称重过""', '问题：""含量多少"", 答案：""可以参考商品详情看着啊""', '问题：""净含量吗"", 答案：""亲，一罐500g哦~""', '问题：""500克的净含量多少"", 答案：""1斤就是500g""', '问题：""一包粉是多少克啊？"", 答案：""亲亲，我们仓库发货哈没法保证哈。""', '问题：""这个粉可以吗含糖吗？"", 答案：""无蔗糖的 本身含糖""', '问题：""包装在那里看为啥净含量多少不写明"", 答案：""亲，我们的包装上已经写明了净含量的哦，您可以看看哦~""']",,,
1：1,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""太甜了""},{""role"":""assistant"",""content"":""亲每个人口味不一样的呢""},{""role"":""user"",""content"":""冰水没用""},{""role"":""assistant"",""content"":""亲，可以调整比例试下哈""},{""role"":""user"",""content"":""1：1""}]",亲可以调整一下比例试下哈,亲试着调整一下比例试下哈,18,"['问题：""比例？"", 答案：""1:6的""', '问题：""一斤大概多少水"", 答案：""1:6的""', '问题：""布丁粉加入开水，不是很白是不是凝固才白的布丁粉加入开水，不是很白水和粉的比例是多少"", 答案：""1:6的""', '问题：""我之前用的是一比十的比例"", 答案：""1:6的""', '问题：""上面的比例牛奶的后面只写了1呀。"", 答案：""比例""', '问题：""几比几 比率"", 答案：""1:6的亲""', '问题：""请问这个比例是多少"", 答案：""1:6的亲""', '问题：""比例多少"", 答案：""1:6的亲""']",,,
