q,que,ai_answer,actual_send_answer,kb_ids,new_refer,order_status,refund_status
我买了两个买二送二的,"[{""role"":""user"",""content"":""你好""},{""role"":""user"",""content"":""有几种口味啊""},{""role"":""assistant"",""content"":""亲 具体的可以看下选项哦""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""我买了两个买二送二的""}]",亲您拍的这个选项不是买二送二,,18,"['问题：""我买的有送？"", 答案：""不送的亲""', '问题：""我买一个三合一个是两合"", 答案：""亲 您可以在两盒的订单修改成一盒的金额""', '问题：""那你后面的是送一斤还是两？"", 答案：""这个是包括送的了买一送一""', '问题：""就是这个共两斤买一送一，是不是我买了两斤送一斤。"", 答案：""如果你拍2份就是四斤""', '问题：""我之前买过"", 答案：""亲 时间太长 看不到您的订单了""', '问题：""我买的三单呢，怎么才三包嘞？我是点的，买一送一"", 答案：""亲，您拍的选项不是买一送一""', '问题：""上次买了一斤这次又买了两斤应该送二个杯子"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""买的时候说是买三送二怎么收到货只有三贷呢？"", 答案：""亲没有这个活动哦""']",,
,"[{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""怎么换厂家了""},{""role"":""assistant"",""content"":""亲亲，这是正常的哦质量一样的哈""},{""role"":""user"",""content"":""晕😵""},{""role"":""user"",""content"":""一次一个厂家""},{""role"":""user"",""content"":""这么不稳定""},{""role"":""assistant"",""content"":""亲，近期换新包装了，商品详情中是有描述的哈""},{""role"":""user"",""content"":""""}]",,都是咱们厂家的货哈,18,,,
亲，已经退货了,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""亲，已经退货了""}]",好的亲。等待退款专员处理哈,,18,"['问题：""要求仅退款，没时间给你弄这个去，今天都在班上回来了，都耽误一天工了，工资还没超你要呢，哪有时间整这个去啊，"", 答案：""亲申请退货退款""', '问题：""你好，我们要退货"", 答案：""好的""', '问题：""我没有收到货拒收了请尽快解决售后问题，避免平台介入退款请尽快解决售后问题，避免平台介入退款快递会给你们退货的"", 答案：""申请退货退款亲""', '问题：""可我收到货了"", 答案：""申请退货退款亲""', '问题：""通过了没有"", 答案：""亲 申请退货退款哦""', '问题：""你发给我，还是我自己退？"", 答案：""亲，通过订单申请退货退款哈""', '问题：""三个解决方案你们看着办：1，你们先把我的订购商品寄过来，我再退货；2，退款不退货；3，赔偿我误工费和乘车费！"", 答案：""需要先退货哈亲""', '问题：""照片上这么大罐但实际救到的货这么细罐又没有说明1罐是多重就说是大罐简直是货不对板"", 答案：""亲 可以申请退货退款""']",,
若店铺未及时打款给消费者，24小时后，或者消费者再次催促时，平台将自动从您的账户中扣除2元现金，给消费者进行“评价返现”的发放,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""己评价。""},{""role"":""assistant"",""content"":""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""},{""role"":""user"",""content"":""若店铺未及时打款给消费者，24小时后，或者消费者再次催促时，平台将自动从您的账户中扣除2元现金，给消费者进行“评价返现”的发放""}]","亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。",,18,"['问题：""若店铺未及时打款给消费者，24小时后，或者消费者再次催促时，平台将自动从您的账户中扣除10元现金，给消费者进行“评价返现”的发放已好评，红包呢"", 答案：""如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦。""', '问题：""试试也可以反正好评完了至少返现2元吧"", 答案：""如果说看到有评价有礼活动，那可能是官方活动，不是本店活动""', '问题：""你说按啥步骤啊，我不明白。按理说应该给你评价了，你返的太少了。别人家都返两元呢。"", 答案：""别家不清楚哦""', '问题：""五星好评截图了"", 答案：""可以尝试提交一下亲，咱们店没有好评返现的哈""', '问题：""打好久电话不接请尽快解决售后问题，避免平台介入退款请尽快解决售后问题，避免平台介入退款请尽快解决售后问题，避免平台介入退款"", 答案：""亲这个可以直接到代收点取下试试哦""', '问题：""收货是收货补偿不要混为一谈哦"", 答案：""确认商品没有问题以后，确认收货联系客服给您申请2元的补偿哈""', '问题：""有没有返现"", 答案：""亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦。""', '问题：""收到货给奖励呀亲"", 答案：""亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦。""']",,
,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""为什么这双皮奶弄起来跟果冻一样的""},{""role"":""assistant"",""content"":""亲调整一下比例试下哦""},{""role"":""user"",""content"":""一点双皮奶味道都没有，跟布丁果冻味道差不多""},{""role"":""user"",""content"":""今晚是按比例试的""},{""role"":""assistant"",""content"":""比例是称重的吗""},{""role"":""user"",""content"":""我把另一包退货给你吧，有一包开了试了味道，一点都不好吃""},{""role"":""assistant"",""content"":""亲亲，如果您实在不满意的话，未拆封商品您可以申请退货退款，，退回几件就申请几件的价格，商品退回，有专人处理的哈。""},{""role"":""user"",""content"":""""}]",,很高兴为您服务，请问有什么可以帮您？,18,,,
发什么快递？,"[{""role"":""user"",""content"":""发什么快递？""}]",亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,,18,"['问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递发什么快递？"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""[发什么快递]"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？怎么做"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""']",,
那为什么有一大罐和一罐？,"[{""role"":""user"",""content"":""一大罐是多少克？""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""assistant"",""content"":""亲 一罐350g""},{""role"":""user"",""content"":""大罐呢？""},{""role"":""assistant"",""content"":""亲 只有一种规格哦""},{""role"":""user"",""content"":""那为什么有一大罐和一罐？""}]",,🌹,"18,10","['问题：""大罐呢"", 答案：""亲，一罐的重量是300g哦~""', '问题：""大罐的多少克？"", 答案：""350g""', '问题：""怎到大罐√"", 答案：""亲 350g一罐""', '问题：""能换两罐大的吗大的有多大"", 答案：""已经是大罐了""', '问题：""好象不对，我下的单是速溶两罐。"", 答案：""是两大罐""', '问题：""小罐还是大罐"", 答案：""一罐350g""', '问题：""是 几罐"", 答案：""2罐""', '问题：""这个才是大罐"", 答案：""一罐350g的亲 二罐是700g""', '问题：""你们说两大罐，所以有一点欺骗的成分在这里。"", 答案：""是两大罐呀亲""', '问题：""这么小罐，还说两大罐？"", 答案：""亲 一罐350""']",,
为啥有苦味,"[{""role"":""user"",""content"":""打不起来""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""还有苦味""},{""role"":""user"",""content"":""为啥有苦味""}]",亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝,亲亲，口感因人而异的哈,18,"['问题：""有苦味儿没"", 答案：""亲亲，我们的产品口感很好哦""', '问题：""那咋喝着苦呢"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""有苦味也不敢喝了"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""这个为啥那么酸"", 答案：""亲 是酸奶哦""', '问题：""为啥那么酸呢"", 答案：""亲可以调整比例试下哦""', '问题：""？那发的啥味道"", 答案：""随机的亲""', '问题：""怎么有种特殊味呀"", 答案：""什么味道呢""', '问题：""这个的味道不甜是要加什么吗"", 答案：""亲 参考下哦""']",,
我買燕麦一单二罐700克共1400克是不是！,"[{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲，下单48小时内发货哦~""},{""role"":""user"",""content"":""我買燕麦一单二罐700克共1400克是不是！""}]",亲，是的，一罐350g哦。,亲一罐350g哦。,18,"['问题：""我买的商品是一罐700克吧，怎么两罐才700克呢"", 答案：""一罐350g的亲 二罐是700g""', '问题：""请问我刚下单的大这两罐有多少重量"", 答案：""亲，一罐350g哦。""', '问题：""我下了4单你看好了我下的是不是12罐"", 答案：""没有没有看到您的订单亲""', '问题：""客服你好。 订单说是两大瓶700克。共700十700二1400是这样的吗？"", 答案：""亲，一罐350g哦。""', '问题：""核实好了吗对共只有6斤我买了8斤"", 答案：""亲，这边帮您联系快递核重，您稍等""', '问题：""你好，每罐是六百克吗？"", 答案：""是的 亲""', '问题：""一单14.9是三罐吗？还送玻璃碗和勺对吗？"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""规格是5罐一件吗，我需要280罐，就下单56件，还是280罐，不要勺子杯子，能优惠吗"", 答案：""亲 需要280罐是吧""']",,
厂家收到货为什么没有玻璃碗和勺子。,"[{""role"":""user"",""content"":""厂家收到货为什么没有玻璃碗和勺子。""}]",亲亲，您的订单是无杯勺款哈~,亲 收到的拍照看下哦,18,"['问题：""我的货收到怎么没有勺呢？"", 答案：""亲看下是不是卡在箱子什么地方了""', '问题：""[物流卡片]为啥没有碗没有勺啊？"", 答案：""亲，您的订单是无杯勺套装哈""', '问题：""怎么没有玻璃杯和勺儿识别消费者反馈"", 答案：""亲亲，您拍的选项是没有玻璃杯和勺子的哈~""', '问题：""怎么没有勺子？货收到了，怎么没有勺子？识别消费者反馈"", 答案：""亲，您拍的选项不送杯子勺子哦~""', '问题：""你好货收到了挨单有勺和杯接到货打开沒有杯和勺"", 答案：""亲亲，您的订单选项是无杯勺款哈""', '问题：""我收到没有勺，有个碗"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""咋没有玻璃杯勺呢？"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""送玻璃杯勺？没有啊"", 答案：""亲亲，您的订单不包含杯勺的亲""']",,
在线吗一次做60克水，粉也是60克是吧！两次水120克，60克粉就行了吧好的亲冰箱常温下放两个半小时可以吗怎么保鲜还在线吗你说的1：2比例太愁了味道变吗粉再加点呢？,"[{""role"":""user"",""content"":""在线吗""},{""role"":""user"",""content"":""转人工客服""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""还在吗""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""备注加急发货""},{""role"":""user"",""content"":""在线吗一次做60克水，粉也是60克是吧！两次水120克，60克粉就行了吧好的亲冰箱常温下放两个半小时可以吗怎么保鲜还在线吗你说的1：2比例太愁了味道变吗粉再加点呢？""}]",亲可以的,,18,"['问题：""怎么做？100克加600克，600克水。？600克水是600毫升水吗？"", 答案：""亲，按照这个比例来操作哦：100克的粉放600g的水。""', '问题：""不是600克水100粉吗，做了几次了，开始我以为放少了，又多放也没用，它不成形，放冰柜也无用"", 答案：""亲 是用什么方法制作的""', '问题：""这个一斤粉用250的杯子可以做多少杯？"", 答案：""建议比例100g粉：600g水，根据您的比例搭配哈""', '问题：""这都一晚上了，怎么不凝固？水我也是按比例放的"", 答案：""亲，按照比例调好后，需要放置冰箱冷藏2小时左右，让粉充分凝固哦~""', '问题：""是按照那个比例没错啊，我100克的粉，然后用600克的水煮了也不行啊"", 答案：""称重的吗""', '问题：""是不是没有冷却过？他还是和水差不多"", 答案：""亲，按照比例制作哈，放入模具中建议放置冰箱冷藏效果更好""', '问题：""100克的粉多少杯呀"", 答案：""亲，按照比例制作就好。粉水比例1:6搭配哈""', '问题：""这样是不是只能做30杯不到？"", 答案：""100g粉：600g水，这个比例亲""']",,
,"[{""role"":""user"",""content"":""""}]",,亲 感谢支持,"18,8",,,
哺乳期可以吃吗,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""哺乳期可以吃吗""}]",亲亲，建议在医生询问下食用哈,亲亲，建议在医生询问下食用哈,"18,10","['问题：""这个哺乳期可以吃吗"", 答案：""不清楚哈亲建议咨询营养师哈""', '问题：""<食用方式>哺乳期可以食用吗？"", 答案：""可以""', '问题：""宝宝可以吃吗"", 答案：""亲亲，几岁的宝宝""', '问题：""孕妇能吃吗？"", 答案：""咨询医生哈亲""', '问题：""<食用方式>孕期能食用吗？"", 答案：""可以""', '问题：""糖尿病人可以吃吗"", 答案：""亲，不建议糖尿病人食用哦。""', '问题：""糖友能吃吗"", 答案：""建议咨询医生哈""', '问题：""糖尿病人能吃吗"", 答案：""亲 建议咨询医生哦""', '问题：""<食用方式>儿童可以食用吗？"", 答案：""可以""', '问题：""减脂期可以吗"", 答案：""亲 我们只是普通的食品""']",,
晕😵一次一个厂家这么不稳定,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""怎么换厂家了""},{""role"":""assistant"",""content"":""亲亲，这是正常的哦质量一样的哈""},{""role"":""user"",""content"":""晕😵""},{""role"":""user"",""content"":""一次一个厂家""},{""role"":""user"",""content"":""晕😵一次一个厂家这么不稳定""}]",,亲，近期换新包装了，商品详情中是有描述的哈,18,"['问题：""晕"", 答案：""🌹""', '问题：""不是7008一罐吗？"", 答案：""🌹""', '问题：""生意是活的你先申请一下看看能不能我是做长期合作的好吧"", 答案：""🌹""', '问题：""啊没想到是那么大一罐[嘻嘻][嘻嘻][嘻嘻]"", 答案：""🌹""', '问题：""我反复检查看，色有白色，灰喑的添加剂，另一部分麦芽已被脱脂及已被提取胚芽油，这是国际公认，只可作工业原料，人不能食用。伪麦丕芽粉。一，不退货不能再去虚弄人。二，被小辈丢掉了，不许吃。三，我老头子考虑商家小本经营赔付一半也祘了。你看发的内容包含货的去向"", 答案：""🌹""', '问题：""噢！原来是这个开两会原因，可以理解"", 答案：""🌹""', '问题：""本来想如果货还可以我就做你家代理太失望了"", 答案：""🌹""', '问题：""今天才开"", 答案：""🌹""']",,
,"[{""role"":""user"",""content"":""""}]",,很高兴为您服务，请问有什么可以帮您？,18,,,
你们要先补还我才能收货,"[{""role"":""assistant"",""content"":""亲 实在是抱歉呢 仓库漏发了 这边给您申请3元的补偿可以吗""},{""role"":""assistant"",""content"":""🌹""},{""role"":""user"",""content"":""好吧""},{""role"":""assistant"",""content"":""亲，确认收货以后联系我们哈""},{""role"":""assistant"",""content"":""🌹""},{""role"":""user"",""content"":""你怎么补偿给我""},{""role"":""assistant"",""content"":""亲，确认收货以后联系我们哈""},{""role"":""user"",""content"":""你们要先补还我才能收货""}]",亲，确认收货以后联系我们哈,亲 需要您先确认收货哦,18,"['问题：""你们收到货了才退我钱吗？"", 答案：""亲，是的呢，商品需要寄回后续有专人处理退款""', '问题：""你还是先退款三元给我先，我才确定收货，不然等一下我确定收货之后你不退款，三元给我怎么办？"", 答案：""不会的哦 亲""', '问题：""已经确认收货了，可以补了吧"", 答案：""确认一下""', '问题：""现在补过来补了就确认收货"", 答案：""这个咱们没权限的""', '问题：""先把钱退回来"", 答案：""亲 麻烦您选确认收货哦""', '问题：""我没收到货，你们就把钱扣了我不要了钱退了吧在吗"", 答案：""已经联系快递了 昨天""', '问题：""白说，你们发错货非要收到才补发"", 答案：""抱歉哈亲这个需要售后那边处理哈会尽快的""', '问题：""你给我先退款吧"", 答案：""亲，商品寄回，售后会处理的哈。""']",,
你家的燕麦麸皮纯吗？？有没有掺杂小麦麸皮现在下单，啥时候发货？？,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""user"",""content"":""发货地是哪里""},{""role"":""assistant"",""content"":""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~山东枣庄发货的亲""},{""role"":""user"",""content"":""你家的燕麦麸皮纯吗？？有没有掺杂小麦麸皮现在下单，啥时候发货？？""}]",下单48小时内发货亲,,"18,10","['问题：""你好是燕麦麸皮吗"", 答案：""燕麦片的亲""', '问题：""你们这是坑人吗？我明明买的是麸麦片，怎么发的是燕片给我？"", 答案：""亲 您在我们店铺购买的是燕麦片哦""', '问题：""你好，你那个燕麦的质量如何呀？收到货那你这两罐能有能有多少啊？"", 答案：""亲，商品生产流程严格监督，发货前都有检查 您放心拍哈""', '问题：""是胚芽都衬底，你家纯粹是小麦麸子退钱吧？挂羊头卖狗肉"", 答案：""亲，我们的产品是小麦胚芽，不是小麦麸子哦。支持退货退款的哈""', '问题：""商家商家你们那个小麦皮哦，都没办法吃，太难吃，太难吃了。像垃圾一样的。一点粘性都没有，怎么吃了。"", 答案：""亲 不满意的话 可以申请退货退款哦""', '问题：""请问商家可以放糖吗？还是里面含着糖的不好意思，在麻烦问一下"", 答案：""本身含糖的""', '问题：""怎么正常，是加了小麦皮的吧"", 答案：""亲亲，保证质量的哈热水冲泡就可以食用哦""', '问题：""是纯的吗，新鲜吗，生产日期？"", 答案：""亲亲是纯的，生产日期都是近期的哦。""', '问题：""我下单时是麸皮麦片，你现在我改成这个麦片"", 答案：""亲 我们店铺没有麸皮麦片哦""', '问题：""这是啥呀吃的东西出来这个有点…[吐]"", 答案：""亲 应该是燕麦片的皮""']",,
勺子碗补发一下不行吗,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""东西发过来了 没有铜勺""},{""role"":""assistant"",""content"":""亲 实在是抱歉呢 可能是漏发了 这边给您申请3元的补偿可以吗""},{""role"":""assistant"",""content"":""这边给您申请2元的补偿可以吗""},{""role"":""user"",""content"":""碗也碎了""},{""role"":""assistant"",""content"":""亲 实在是抱歉呢 这边给您申请3元的补偿可以吗""},{""role"":""user"",""content"":""勺子没有 碗也碎了""},{""role"":""assistant"",""content"":""亲 这边给您申请3元的补偿 您看可以吗""},{""role"":""user"",""content"":""勺子碗补发一下不行吗""}]",亲 这边可以给您补发一个碗,亲 抱歉呢 赠品无法补发哦,18,"['问题：""你好，杯子和勺子没给吗"", 答案：""亲 拍照看下哦""', '问题：""杯勺子咋没给带"", 答案：""亲，这边帮您联系快递核重，您稍等""', '问题：""给我发个杯子勺子好吗？"", 答案：""实在抱歉哈亲这个本身就是属于赠品没法补发的哈""', '问题：""这勺子都没有怎么办"", 答案：""亲 可以用自己的勺子哦""', '问题：""我的勺子呢"", 答案：""亲看下是不是卡在箱子什么地方了""', '问题：""补发吧"", 答案：""好的亲，已报备补发""', '问题：""补发吧"", 答案：""好的亲这边帮您登记一下""', '问题：""你链接上就一个9块9，没有第二个。"", 答案：""商品寄回有专人处理哈可以重新下单带碗勺的""']",,
我已拼单成功，能尽快帮我发货吗？,"[{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""}]",亲亲，下单48小时内发货哦~,,18,"['问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""下单48小时内发货亲""', '问题：""我已拼单成功，能尽快帮我发货吗？急"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的👌"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？请发货。"", 答案：""亲亲，下单48小时内发货哦~""']",,
加的葡萄糖糖尿病人,"[{""role"":""user"",""content"":""糖尿病人能食用吗？""},{""role"":""assistant"",""content"":""咨询医生哈亲""},{""role"":""user"",""content"":""加的葡萄糖糖尿病人""}]",亲 建议您咨询下医生,亲建议先咨询下医生哦,18,"['问题：""加糖吗？我有糖尿病。"", 答案：""咨询医生哈亲""', '问题：""我是糖尿病人"", 答案：""咨询医生哈亲""', '问题：""额外加糖了吗？我有糖尿病需慎用。"", 答案：""亲，我们的产品零添加蔗糖哦，只有商品本身赋有的糖份""', '问题：""亲，糖尿病人吃，血糖升高？"", 答案：""零添加蔗糖哈""', '问题：""糖尿病人可用吗"", 答案：""亲，不建议糖尿病人食用哦。您也可以咨询下医生""', '问题：""你这本身有没有甜味？"", 答案：""本身含糖的""', '问题：""请问商家可以放糖吗？还是里面含着糖的不好意思，在麻烦问一下"", 答案：""本身含糖的""', '问题：""甜不甜"", 答案：""本身含糖的亲""']",,
,"[{""role"":""user"",""content"":""""}]",,很高兴为您服务，请问有什么可以帮您？,18,,,
可以退货吗,"[{""role"":""user"",""content"":""可以退货吗""}]",亲亲，如果您实在不满意的话，未拆封商品您可以申请退货退款，退回几件就申请几件的价格，商品退回，有专人处理的哈。,亲 什么原因呢,18,"['问题：""退货可以吗"", 答案：""您这个时间太久了亲过了售后期了您可以自己申请试下哈""', '问题：""能退货嘛"", 答案：""亲亲，因为什么呢""', '问题：""能不能退货"", 答案：""另外两罐可以申请退货退款 金额修改成9.93元""', '问题：""可以申请退货吗？"", 答案：""实在抱歉给您带来不好的体验，如果您实在不满意的话您可以申请退货退款，商品退回哈。""', '问题：""可以退货把"", 答案：""亲亲，如果您实在不满意的话，未拆封商品您可以申请退货退款，，退回几件就申请几件的价格，商品退回，有专人处理的哈。""', '问题：""我想退货可以吗我想退货可以吗"", 答案：""可以的，申请退款就可以哈""', '问题：""我想退货"", 答案：""可以的，申请退款就可以哈~""', '问题：""我想退货"", 答案：""亲，可以的，您耐心等待退款就可以哈""']",,
从哪里发货？,"[{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲，下单48小时内发货哦~""},{""role"":""user"",""content"":""从哪里发货？""}]",亲亲，我们是在山东枣庄发货的哦。,亲亲，我们是在山东枣庄发货的哦。,18,"['问题：""从哪里发货"", 答案：""山东枣庄""', '问题：""从哪里：从哪里发货"", 答案：""山东枣庄发货的亲。""', '问题：""你们那里发货从哪发货"", 答案：""亲亲，我们是在山东枣庄发货的哦。""', '问题：""发货地在哪"", 答案：""山东枣庄""', '问题：""从哪里发货几天到货急用"", 答案：""山东枣庄发货的亲""', '问题：""今天能发货吗？"", 答案：""下单48小时内发货亲""', '问题：""今天能发货吗？"", 答案：""亲亲，已经在陆续发货了，会尽快安排的哈""', '问题：""今发货吗"", 答案：""亲 正在备货""']",,
我已拼单成功，能尽快帮我发货吗？,"[{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""}]",亲亲，下单48小时内发货哦~,亲亲，下单48小时内发货哦~,18,"['问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""我已拼单成功，能尽快帮我发货吗？"", 答案：""下单48小时内发货亲""', '问题：""我已拼单成功，能尽快帮我发货吗？急"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的👌"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？好的"", 答案：""亲亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？请发货。"", 答案：""亲亲，下单48小时内发货哦~""']",,
谢谢,"[{""role"":""user"",""content"":""我买的两斤要多少水""},{""role"":""assistant"",""content"":""亲 参考下哦""},{""role"":""user"",""content"":""谢谢""}]",亲，不客气哈,亲，不客气哈,18,"['问题：""谢谢"", 答案：""客气了亲""', '问题：""谢谢"", 答案：""不客气亲""', '问题：""谢谢"", 答案：""不客气哈亲""', '问题：""谢谢谢谢"", 答案：""不客气哈""', '问题：""谢谢了"", 答案：""不客气亲，后续有专员确认给您地址，您耐心等待下哈""', '问题：""好谢谢"", 答案：""感谢理解亲""', '问题：""谢谢谢谢谢谢"", 答案：""亲，不客气哈，""', '问题：""好的谢谢"", 答案：""客气了亲""']",,
在吗,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""在吗""}]",亲，在的 有什么可以帮您呢,,18,"['问题：""在吗？"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""在吗您好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""在吗亲"", 答案：""你好""', '问题：""[在吗]"", 答案：""好的亲🌹""', '问题：""在吗[在吗]"", 答案：""你好 在的亲""', '问题：""你好在不"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好，在吗？"", 答案：""在的 亲""']",,
里面的粉，净含量是多少呀,"[{""role"":""user"",""content"":""你好""},{""role"":""user"",""content"":""这个一桶，净重多少呀""},{""role"":""user"",""content"":""里面的粉，净含量是多少呀""}]",亲，可以参考商品详情页或者评论区看下哈,,"18,8","['问题：""咋没有净含量是多少呢？"", 答案：""亲，一罐500g哦。""', '问题：""净含量多少克净含量多少克"", 答案：""亲，一罐的重量是500g哦~""', '问题：""这个粉的比例是多少"", 答案：""亲，这个粉的比例是1:6哦""', '问题：""净重多少？粉炅多少"", 答案：""亲 不清楚 我们没有具体称重过""', '问题：""含量多少"", 答案：""可以参考商品详情看着啊""', '问题：""净含量吗"", 答案：""亲，一罐500g哦~""', '问题：""500克的净含量多少"", 答案：""1斤就是500g""', '问题：""一包粉是多少克啊？"", 答案：""亲亲，我们仓库发货哈没法保证哈。""', '问题：""这个粉可以吗含糖吗？"", 答案：""无蔗糖的 本身含糖""', '问题：""包装在那里看为啥净含量多少不写明"", 答案：""亲，我们的包装上已经写明了净含量的哦，您可以看看哦~""']",,
连顾客这种小要求你们都做不到还做什么生意,"[{""role"":""user"",""content"":""我现在没指定""},{""role"":""assistant"",""content"":""亲这个我备注也没用的仓库不看这个""},{""role"":""user"",""content"":""只是说拒收中通""},{""role"":""user"",""content"":""你按要求备注上去""},{""role"":""user"",""content"":""到时发的是中通我会退货""},{""role"":""user"",""content"":""嗯""},{""role"":""assistant"",""content"":""好的""},{""role"":""user"",""content"":""连顾客这种小要求你们都做不到还做什么生意""}]",亲，我们这边发货是按顺序来的，不能保证一定能够发到您指定的快递公司。,,18,"['问题：""本来想如果货还可以我就做你家代理太失望了"", 答案：""🌹""', '问题：""你送的杯子不能泡我买的产品干嘛要送"", 答案：""咱们的心意亲""', '问题：""有现货为什么非要等48小时呢下单都着急"", 答案：""亲亲，我们这边发货是按顺序来的""', '问题：""你就说今天能不能发货不能发我换一家买不用官方说辞"", 答案：""会尽快哈亲""', '问题：""我都说了补我8元我也没有要求高，"", 答案：""我们没有那么大的利润 5元您不接受的话 申请退货退款""', '问题：""你们在哪整事叫我申请售后你们凭良心说说太不向话了"", 答案：""亲 退货退款是需要您自己申请的哦""', '问题：""商家收到货怎没有杯和勺子那识别消费者反馈"", 答案：""亲亲，您的订单是无杯勺的""', '问题：""生意是活的你先申请一下看看能不能我是做长期合作的好吧"", 答案：""🌹""']",,
