,q,que,ai_answer,actual_send_answer,kb_ids,new_refer
135,退单。,"[{""role"":""user"",""content"":""退单。""}]","亲亲,您可以申请退款哦,我们会尽快为您处理。","亲亲,您可以申请退款哦,我们会尽快为您处理。",18,"['问题：""退单退单。"", 答案：""亲 申请下退货退款哦""', '问题：""申请退款。"", 答案：""亲，不支持仅退款哈""', '问题：""退款"", 答案：""亲，申请退款回有专人处理哈""', '问题：""退款"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""退款"", 答案：""亲，后续会有专员处理哈""']"
136,请问这款是泡的吃吗,"[{""role"":""user"",""content"":""你好老板""},{""role"":""assistant"",""content"":""您好,亲,有什么可以帮助您的吗？""},{""role"":""user"",""content"":""请问这款是泡的吃吗""}]","亲,这款是泡的吃哦。","亲,这款是泡的吃哦。",18,"['问题：""是泡着吃还是煮着吃"", 答案：""亲，这直接用开水冲泡即可食用哦~""', '问题：""这是直接用开水冲泡的吗"", 答案：""参考下亲""', '问题：""怎么吃"", 答案：""冲泡即食的亲""', '问题：""用开水冲也不黏糊。"", 答案：""亲 用开水冲泡的吗""', '问题：""冲泡不是要热水吗这个杯子是给用的吗"", 答案：""亲，是的，需要用热水冲泡哦。""']"
137,你好老板,"[{""role"":""user"",""content"":""你好老板""}]","您好,亲,有什么可以帮助您的吗？","您好,亲,有什么可以帮助您的吗？",18,"['问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""']"
138,"做完一直在冷藏放着吗,可以放几天","[{""role"":""user"",""content"":""做完一直在冷藏放着吗,可以放几天""},{""role"":""user"",""content"":""怎么制作""},{""role"":""user"",""content"":""做完一直在冷藏放着吗,可以放几天""}]","亲,做完后建议尽快食用哦,可以放7天呢。","亲,做完后建议尽快食用哦","15, 18","['问题：""做好可以存放多久可以放冰箱冷藏到第二天吗"", 答案：""冰箱能储存3-5天，需要盖上保鲜膜冷藏储存，尽量新鲜食用，不宜长时间保存。""', '问题：""做完了可以放多久"", 答案：""成型后的布丁粉，盖上保鲜膜冰箱冷藏储存，可以存放2-3天哈""', '问题：""一斤可以做多少个布丁"", 答案：""做好可以放冰箱冷却一下哦""', '问题：""做好之后冰箱可以保存几天呀怕拿出去卖不完"", 答案：""自做的布丁可以放置冰箱中冷藏，罩上保鲜膜，一般来说可以保存2-3天。如果是加入了果酱等食材，会使布丁变质的时间缩短一些，建议尽快食用。""', '问题：""做好用放在冰箱么"", 答案：""冰箱能储存3-5天，需要盖上保鲜膜冷藏储存，尽量新鲜食用，不宜长时间保存。""']"
139,是纯山药粉吗？糖尿病人可以吃吗？,"[{""role"":""user"",""content"":""是纯山药粉吗？糖尿病人可以吃吗？""}]","亲,我们的山药粉是纯山药粉,但是糖尿病人需要遵医嘱食用哦。","亲,我们的山药粉是纯山药粉,但是糖尿病人需要遵医嘱食用哦。","47, 18","['问题：""是纯山药制粉吗？"", 答案：""是的，我们的山药粉是纯山药制粉，不含任何添加剂""', '问题：""是纯正山药粉吗"", 答案：""亲，我们的山药粉是纯正山药粉""', '问题：""是纯山药粉吗是哪里的山药"", 答案：""山东枣庄发货的亲""', '问题：""在吗是纯山药粉还是有其它的？"", 答案：""纯正山药粉的""', '问题：""是纯山药吗是生粉还是熟粉"", 答案：""亲，我们的山药粉是纯正山药粉哦~""']"
140,是足斤的吗,"[{""role"":""user"",""content"":""你看我拍的是十斤吗？""},{""role"":""assistant"",""content"":""是的""},{""role"":""user"",""content"":""是足斤的吗""}]","亲,我们的商品都是足斤的哦~",是的,"22, 23","['问题：""在吗十斤准吗"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""', '问题：""猪肠衣一包加线能灌多少斤？"", 答案：""这个是五斤的""', '问题：""这种一包罐多少斤"", 答案：""这个是五斤的""', '问题：""亲，这个能灌几斤"", 答案：""五斤的""', '问题：""一根是一斤么"", 答案：""肠衣受湿度，厚薄，盐分多少的影响，重量只作为参考，每一包肠衣重量都是有差别哦亲。""']"
141,"拍了,希望质量和之前的一样","[{""role"":""user"",""content"":""一点都没浪费""},{""role"":""user"",""content"":""我在拍点,能给多点吗？不够十斤的""},{""role"":""assistant"",""content"":""根据个人手法,会有误差,因为有人灌的紧,有人灌的肉松这个只能根据选项下单哈亲""},{""role"":""user"",""content"":""怎么会,是专业人士灌的。在差也不能差4斤呀""},{""role"":""user"",""content"":""差一斤我就不说了""},{""role"":""assistant"",""content"":""根据个人手法,会有误差,因为有人灌的紧,有人灌的肉松,有误差很正常哈。""},{""role"":""user"",""content"":""我现在拍,什么时候能到""},{""role"":""assistant"",""content"":""亲,初六之后开始陆续按订单顺序发货,咱会尽快处理的哈""},{""role"":""user"",""content"":""拍了,希望质量和之前的一样""}]","好的亲,我们会严格把控商品质量,确保您收到的商品都是优质的哦。","好的亲,我们会严格把控商品质量,确保您收到的商品都是优质的哦。","22, 23","['问题：""我的取件取消呀！"", 答案：""亲可以重新拍下哈""', '问题：""希望质量好，好用"", 答案：""嗯嗯 好的""', '问题：""拍完了"", 答案：""需要备注调料口味吗""', '问题：""调料可以自己选味道吗"", 答案：""亲 可以按选项拍哦""', '问题：""肠衣收到后怎么用"", 答案：""拍下以后有教程的哈""']"
142,"没添加糖,防腐剂","[{""role"":""user"",""content"":""是新鲜的小麦胚芽,含油吗？""},{""role"":""assistant"",""content"":""我们家的小麦胚芽没提取胚芽油,也没有添加任何防腐剂""},{""role"":""user"",""content"":""没添加糖,防腐剂""}]","亲亲,我们的小麦胚芽没添加糖和防腐剂哦~",是的,"17, 18","['问题：""亲，糖尿病人吃，血糖升高？"", 答案：""零添加蔗糖哈""', '问题：""按说明书上免煮的，没有加糖"", 答案：""可以的亲口味根据自己的口味哈，喜欢甜的也可以加""', '问题：""里面不会有添加剂吧"", 答案：""不会的 亲""', '问题：""<商品成分>保质期长是不是因为防腐剂多？"", 答案：""保质期1年，不添加防腐剂""', '问题：""亲无糖的有那种"", 答案：""亲 我们是0添加蔗糖的哦""']"
143,没有过期吧？,"[{""role"":""user"",""content"":""没有过期吧？""}]","亲,我们的商品都是近期生产的,保质期12个月,可以放心购买哦~","亲,我们的商品都是近期生产的,保质期12个月,可以放心购买哦~",18,"['问题：""都说了试了几次昨天的已经放冰箱一夜了你们自己不知道的吗？是不是你们给我这是过期食品"", 答案：""亲不会过期的哦""', '问题：""不是保质期－年吗？"", 答案：""亲您这个订单时间太久了哈这边看不到订单了""', '问题：""现在还差几个月才会过期啊"", 答案：""亲咱这边保证质量的哈""', '问题：""<运营问题>日期新鲜吗？"", 答案：""都是近期的""', '问题：""没有发错货吧？"", 答案：""亲 已经备注了""']"
144,麻烦快点,"[{""role"":""user"",""content"":""我已拼单成功,能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲,初六之后开始陆续按订单顺序发货,咱会尽快处理的哈""},{""role"":""user"",""content"":""谢谢""},{""role"":""assistant"",""content"":""感谢您的光临,祝您生活愉快,再见！""},{""role"":""user"",""content"":""麻烦快点""}]","亲亲,我们会尽快安排,谢谢您的提醒。","亲亲,我们会尽快安排,谢谢您的提醒。",18,"['问题：""好的快点"", 答案：""好的亲🌹""', '问题：""你看我以前买的两大灌才是15元你自己来拿"", 答案：""麻烦寄回哦""', '问题：""麻烦邮政快递"", 答案：""不支持指定""', '问题：""给我快点发货"", 答案：""亲 麻烦您申请下退款哦""', '问题：""我下单，麻烦加急一下"", 答案：""亲亲，正常48小时内发货呢""']"
145,好制作吗？,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""正常发货吗？""},{""role"":""assistant"",""content"":""亲,初六之后开始陆续按订单顺序发货,咱会尽快处理的哈""},{""role"":""user"",""content"":""好制作吗？""}]","亲亲,咱家的布丁粉非常好制作哦,只需要开水冲泡就可以啦。","亲亲,咱家的布丁粉非常好制作哦,只需要开水冲泡就可以啦。","15, 18","['问题：""可以制作这个吗？"", 答案：""不清楚呢亲""', '问题：""制作方法有吗"", 答案：""看下亲""', '问题：""有制作教程吗"", 答案：""亲 参考下哦""', '问题：""怎么制作呢"", 答案：""有教程亲""', '问题：""有制作视频？"", 答案：""参考下视频亲""']"
146,是纯山药粉吗,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""现在能发货啦""},{""role"":""assistant"",""content"":""亲,初六之后开始陆续按订单顺序发货,咱会尽快处理的哈""},{""role"":""user"",""content"":""是纯山药粉吗""}]","亲,是的,我们的山药粉是纯山药粉,不含任何添加剂哦~","亲,是的,我们的山药粉是纯山药粉,不含任何添加剂哦~","47, 18","['问题：""是纯正山药粉吗"", 答案：""亲，我们的山药粉是纯正山药粉""', '问题：""是纯山药制粉吗？"", 答案：""是的，我们的山药粉是纯山药制粉，不含任何添加剂""', '问题：""100%纯山药粉吗？"", 答案：""亲，我们的铁棍山药粉是100%纯山药粉，不添加任何其他成分哦~""', '问题：""是纯山药粉吗是哪里的山药"", 答案：""山东枣庄发货的亲""', '问题：""在吗是纯山药粉还是有其它的？"", 答案：""纯正山药粉的""']"
147,"误拍,退货。","[{""role"":""user"",""content"":""误拍,退货。""}]","亲亲,非常抱歉给您带来不便。您可以申请退货,我们会尽快为您处理退款哦。",直接申请退款即可,18,"['问题：""拍错了退款退货"", 答案：""亲，可以的，您只需要在订单中申请退款就可以哦。""', '问题：""我拍错了请退款。拍错了"", 答案：""亲，可以的，您只需要在订单中申请退款就可以哦。""', '问题：""亲，拍错了，退款申请"", 答案：""亲 可以申请退款哦""', '问题：""可以换成草味的吗我按成抹茶味的了可以换成草莓味的吗"", 答案：""退款重拍下亲""', '问题：""商家你好我误拍了商品申请退货退款谢谢"", 答案：""亲，申请退款 有专人处理的哈""']"
148,"点错了,怎么取消","[{""role"":""user"",""content"":""点错了,怎么取消""}]","亲,您可以在后台申请退款哦~","亲,您可以在后台申请退款哦~",18,"['问题：""怎样取消"", 答案：""订单里取消哦""', '问题：""4块钱用用退了"", 答案：""取消下""', '问题：""在哪里取消没找到"", 答案：""在您退款订单中亲""', '问题：""撤销不了呀"", 答案：""亲 找到您的订单有撤销的选项哦""', '问题：""我要退款点错了"", 答案：""亲，直接申请就可以哈~""']"
149,你好在吗,"[{""role"":""user"",""content"":""你好在吗""}]","亲,您好,我在,有什么问题需要我帮您解答吗？","亲,您好,我在,有什么问题需要我帮您解答吗？",18,"['问题：""你好在不"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你好，在吗？"", 答案：""在的 亲""', '问题：""在吗您好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""在吗亲"", 答案：""你好""', '问题：""在吗？"", 答案：""很高兴为您服务，请问有什么可以帮您？""']"
150,更换快递,"[{""role"":""user"",""content"":""添加没""},{""role"":""assistant"",""content"":""亲,这款燕麦片是纯麦片哦。零添加哈""},{""role"":""user"",""content"":""好的""},{""role"":""assistant"",""content"":""感谢您的光临,祝您生活愉快,再见！""},{""role"":""user"",""content"":""下单了""},{""role"":""assistant"",""content"":""亲,您已经下单了,我们会尽快为您发货哦。""},{""role"":""user"",""content"":""[玫瑰]""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""极兔拒收""},{""role"":""assistant"",""content"":""亲可以申请退款哈""},{""role"":""user"",""content"":""更换快递""}]","亲,我们目前不支持更换快递哦。",更换不了亲,18,"['问题：""换个快递吧"", 答案：""已经发货了亲""', '问题：""换货"", 答案：""好的""', '问题：""改地址万春霞 18720051095 江西省南昌市南昌县 莲塘镇锦绣江南18栋3单元403"", 答案：""亲，已反馈快递变更新地址""', '问题：""杨伟成 13919299041 甘肃省兰州市城关区 详细地址: 甘肃省兰州市城关区闽家桥216号301室。杨伟成13919299041\n    现在帮我改一个兰州地址可以吗"", 答案：""亲 这边联系快递修改哦""', '问题：""我看现在物流已到那个地址的那个区了，还能改吗"", 答案：""亲 已经联系快递修改了哦""']"
151,几天能到内蒙古赤峰市,"[{""role"":""user"",""content"":""发内蒙古赤峰市吗""},{""role"":""assistant"",""content"":""能下单就可以哈""},{""role"":""user"",""content"":""几天能到内蒙古赤峰市""}]","亲,路上时效以快递为准,我们不敢保证快递路上时效哦~","亲,路上时效以快递为准,我们不敢保证快递路上时效哦~",18,"['问题：""几天能到河北"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""', '问题：""内蒙古赤峰市"", 答案：""随机哦""', '问题：""你好广东省内几天能到？"", 答案：""亲，您好，我在呢，有什么可以帮助您的吗？""', '问题：""几天能到？"", 答案：""亲，路上时效以快递为准，我们不敢保证快递路上时效哦。""', '问题：""什么时候能到保山"", 答案：""路上时效以快递为准，我们不敢保证快递路上时效哦""']"
152,平台客服在哪儿,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""不是显示评价反现吗""},{""role"":""assistant"",""content"":""亲,本店都是薄利多销,没啥利润的,如果您签收以后还满意的话,麻烦给个五星好评鼓励一下哦。亲,本店都是薄利多销,没啥利润的,如果您签收以后还满意的话,麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动,那可能是官方活动,不是本店活动,可以按照步骤要求提交试一下哦。""},{""role"":""user"",""content"":""以经评价了""},{""role"":""assistant"",""content"":""咱没有这个活动哈可以咨询下平台客服哈""},{""role"":""user"",""content"":""在哪里""},{""role"":""assistant"",""content"":""亲可以联系平台客服哈咱店里没有这个活动""},{""role"":""user"",""content"":""平台客服在哪儿""}]","亲,平台客服在平台首页的客服中心哦,您可以点击联系客服,然后选择人工客服或者自助客服进行问题咨询哦。亲,平台客服在平台首页的客服中心哦,您可以点击联系客服,然后选择人工客服或者自助客服进行问题咨询哦。","亲,平台客服在平台首页的客服中心哦",18,"['问题：""你告诉我一下，怎么联系平台客服啊？怎么联系平台客服啊？"", 答案：""亲 进入拼多多首页 有官方客服的选项""', '问题：""客服客服"", 答案：""在的 亲""', '问题：""<基础问题>为什么我收到货后，订单还是显示未发货?"", 答案：""联系客服""', '问题：""写的是找客服"", 答案：""亲，这边没有这个活动哈""', '问题：""有人工客服么"", 答案：""随机不支持备注的""']"
153,制作简单吗,"[{""role"":""user"",""content"":""制作简单吗""}]","亲,制作方法很简单哦,只需要按照包装上的说明进行操作就可以啦。","亲,制作方法很简单哦,只需要按照包装上的说明进行操作就可以啦。",18,"['问题：""制作方法有吗"", 答案：""看下亲""', '问题：""怎么制作呢"", 答案：""有教程亲""', '问题：""制作过程"", 答案：""亲 参考下哦""', '问题：""可以用筷子做吗"", 答案：""建议用电动的哦""', '问题：""怎么做的有教程吗"", 答案：""可以参考看下""']"
154,我都拼了9天了送个杯子吧,"[{""role"":""user"",""content"":""那这样我等了这么多天你必须送我点""},{""role"":""assistant"",""content"":""送不了哈亲""},{""role"":""user"",""content"":""送块糖也行""},{""role"":""assistant"",""content"":""抱歉哈亲没有赠品哈""},{""role"":""user"",""content"":""或送个杯子也行""},{""role"":""assistant"",""content"":""看选项哦亲,选项上面有写的就送,没有写的就不送哦""},{""role"":""user"",""content"":""我都拼了9天了""},{""role"":""assistant"",""content"":""仓库会尽快处理的哈""},{""role"":""user"",""content"":""送个杯子""},{""role"":""assistant"",""content"":""看选项哦亲,选项上面有写的就送,没有写的就不送哦""},{""role"":""user"",""content"":""我都拼了9天了送个杯子吧""}]","亲亲,看选项哦亲,选项上面有写的就送,没有写的就不送哦","亲亲,看选项哦亲,选项上面有写的就送,没有写的就不送哦",18,"['问题：""我拼单上面有送杯勺呀"", 答案：""没有的哈亲""', '问题：""送好点的杯子，🙏"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""你看。你们的商品咋这么不行啊？补两元钱，我有杯子使吗？我也没有别的用啊。"", 答案：""杯子是赠品亲""', '问题：""你们送的杯子漏水啊[擦汗]"", 答案：""拍照我看下亲""', '问题：""可以给我送个玻璃杯吗我这是第二次买了"", 答案：""亲亲，根据选项下单哈亲。没有标注就不送的哦~""']"
155,所以你们的问题需要你们来承担,"[{""role"":""user"",""content"":""退不退没关系了,只是大过年的,用面粉的时候吧,我看着那个颜色不知道啥情况,问你们,好久没等到回复,面我肯定也不能吃对吧,丢了的,万一吃完有啥事,所以着急自己处理了""},{""role"":""user"",""content"":""你们让我退我也拿不回去是吧""},{""role"":""assistant"",""content"":""亲亲,很抱歉给您带来不好的体验""},{""role"":""user"",""content"":""丢就丢了,我认了""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""但是你们一天不回复消费者也是你们的过失,不上班起码要标注一下,对吧,谁也不能说中午做饭,觉得有问题就一直等着你们吧""},{""role"":""assistant"",""content"":""亲,非常抱歉给您带来不便""},{""role"":""user"",""content"":""有没有你们的问题""},{""role"":""assistant"",""content"":""亲,很抱歉给您带来不好的体验,还请亲理解一下,您看为了给您有个好的购物体验,给您补偿2元可以吗。""},{""role"":""user"",""content"":""所以你们的问题需要你们来承担""}]","亲,很抱歉给您带来不好的体验,我们这边会尽快处理这个问题,给您一个满意的答复。","实在抱歉给您带来不好的体验,如果您实在不满意的话您可以申请退货退款,商品退回,包邮退的哈。",18,"['问题：""运费你们出。"", 答案：""以平台补贴为准哈""', '问题：""那退回超出的运费，你们承担吧"", 答案：""亲亲，自己承担哈""', '问题：""是你们的责任，你们先发3元红包，马上收货"", 答案：""亲 这边是需要您先确认收货后 这边在订单上面给您返""', '问题：""寄回去还不是要出运费"", 答案：""亲 运费需要您自己承担""', '问题：""问你谁负担痛快点"", 答案：""平台有补贴标准以平台的补贴为准""']"
156,"你们的面真难吃,粘的,一点不精到","[{""role"":""user"",""content"":""每袋是一斤吗？""},{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""评价有返现吗？""},{""role"":""assistant"",""content"":""亲,本店都是薄利多销,没啥利润的,如果您签收以后还满意的话,麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动,那可能是官方活动,不是本店活动,可以按照步骤要求提交试一下哦""},{""role"":""user"",""content"":""你们的面真难吃,粘的,一点不精到""}]","亲亲,我们的面是手工制作的,口感可能会有些不同,但是质量是有保障的哦。如果您不满意,我们可以为您退款哦。","亲亲,我们的面是手工制作的,口感可能会有些不同,但是质量是有保障的哦。",18,"['问题：""不好吃。里面还有面疙瘩在吗"", 答案：""亲，没有您的订单哈""', '问题：""有的面已经和了"", 答案：""亲 可以把没有打开的退回""', '问题：""面生虫了"", 答案：""实在抱歉亲给您退款了哈""', '问题：""我自己吃到不好吃的"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""嗯 所以不好 做了一杯不好吃"", 答案：""🌹""']"
157,可以优惠吗,"[{""role"":""user"",""content"":""在吗""},{""role"":""assistant"",""content"":""亲,在的,有什么可以帮到您的吗？""},{""role"":""user"",""content"":""可以优惠吗""}]","亲亲,非常抱歉,我们商品是薄利多销,暂时没有优惠哦。但是我们会努力给您提供更好更优质的服务哦～。","亲亲,非常抱歉,我们商品是薄利多销,暂时没有优惠哦。",18,"['问题：""<基础问题>多买有优惠吗？"", 答案：""有优惠""', '问题：""买多有优惠吗"", 答案：""亲 需要多少""', '问题：""[流泪]没有优惠了吗"", 答案：""亲，现在本身就是优惠价了哈。以订单价为准的""', '问题：""量大有优惠吗？"", 答案：""亲，我们这里都是优惠的价格了哦""', '问题：""<运营问题>有优惠吗？"", 答案：""都是活动价""']"
158,"年前买的肠衣怎么那么细,根本灌不上十斤肉,破损特别多","[{""role"":""user"",""content"":""客服,在吗""},{""role"":""assistant"",""content"":""在的亲,很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""年前买的肠衣怎么那么细,根本灌不上十斤肉,破损特别多""}]","亲,非常抱歉给您带来不便。我们的肠衣都是天然的,如果您操作得当,应该不会那么容易破的。至于太细,那是正常的,因为肠衣本身就有弹性,灌肉后会变粗。","天然肠衣,不敢保证没有孔,因为是人工从猪肠子上剥离的,在剥离的过程中,难免会有破损的亲。","22, 23","['问题：""买的肠衣都是破的"", 答案：""很抱歉让您不满意了，肠衣是天然肠衣，有些小破洞是难免的，但不会影响食用效果。""', '问题：""肠衣好多破的而且很容易破"", 答案：""亲 拍照看下哦""', '问题：""这个肠衣太少了，我装了5斤肉就用完了，买时看到说能装10斤吗"", 答案：""亲，根据个人手法，会有误差，因为有人灌的紧，有人灌的肉松""', '问题：""以前买的肠衣灌完捏着有弹性  这次买的不好 弹力小  而且灌出来很粗"", 答案：""亲亲天然肠衣是这样的哈如果弹性很大有可能就不是天然的了""', '问题：""肠衣都烂了，有嘞还味道重"", 答案：""您拍照咱看下""']"
159,别吃了拉肚子哈[捂脸],"[{""role"":""user"",""content"":""哦""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""日期怎么样""},{""role"":""assistant"",""content"":""亲,我们的商品都是近期生产的""},{""role"":""user"",""content"":""哦""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""那我去下单了""},{""role"":""assistant"",""content"":""好的 亲""},{""role"":""user"",""content"":""是熟食噻""},{""role"":""assistant"",""content"":""是的 亲""},{""role"":""user"",""content"":""别吃了拉肚子哈[捂脸]""}]","亲,我们的商品都是经过严格检验的,不会导致拉肚子哦。","亲,我们的商品都是经过严格检验的,不会导致拉肚子哦。",18,"['问题：""能吃就行不要吃了有副作用"", 答案：""肯定不会哈亲保证质量的哦""', '问题：""不会就好，我怕吃了上火好的，谢谢"", 答案：""客气了亲""', '问题：""那个致敏源：含乳制品和坚果什么意思"", 答案：""就是对这个过敏的不要吃哈亲""', '问题：""[捂脸]不冻呢？"", 答案：""亲一般建议当天食用哈""', '问题：""没关系的能吃就行"", 答案：""好的亲""']"
160,有灌枪配的吗,"[{""role"":""user"",""content"":""哦哦哦""},{""role"":""user"",""content"":""太慢了,怕坏掉了""},{""role"":""assistant"",""content"":""亲 常温保存3个月""},{""role"":""user"",""content"":""哦""},{""role"":""assistant"",""content"":""�""},{""role"":""user"",""content"":""你们在哪里发货的""},{""role"":""assistant"",""content"":""亲,我们是山东枣庄发货哦。""},{""role"":""user"",""content"":""卖家""},{""role"":""user"",""content"":""有灌枪配的吗""}]","亲,有灌枪配的哦,按选项拍哦~","看选项哦亲,选项上面有写的就送,没有写的就不送哦","22, 23","['问题：""不能用水煮？"", 答案：""灌好的吗""', '问题：""选这个是可以灌10斤的吗？"", 答案：""是的亲8-10斤左右""', '问题：""亲，这个能灌几斤"", 答案：""五斤的""', '问题：""其他俩袋还没打开看"", 答案：""亲可以灌看看哈""', '问题：""这能灌几斤"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""']"
161,熟的好还是生的好？,"[{""role"":""user"",""content"":""熟的好还是生的好？""}]","亲,熟的好哦,口感更好哦。",咱这是熟的哈,18,"['问题：""是熟的吗？"", 答案：""亲，是的呢，我们的产品是熟的哦~""', '问题：""你这是生还是熟"", 答案：""熟的亲""', '问题：""生的熟的生的熟的"", 答案：""熟的""', '问题：""你这是炒熟了的吗"", 答案：""熟的哈""', '问题：""三袋的是熟的吗"", 答案：""是的亲，低温烘焙，冲泡即食哈""']"
162,你意思是直接用开水搅拌就可以了是吧,"[{""role"":""user"",""content"":""为什么煮出来的布丁上面浮一层""},{""role"":""user"",""content"":""白白的""},{""role"":""user"",""content"":""你看人家的都不会""},{""role"":""assistant"",""content"":""用的水煮,火太大了,煮老了没用水煮的话,就是没有搅拌均匀,可以调整试下哈。""},{""role"":""user"",""content"":""你意思是直接用开水搅拌就可以了是吧""}]","是的,亲,直接开水搅拌就可以了,但是建议煮一下,这样融化效果更好哦。",如果用免煮做法的话注意搅拌就可以了哈,18,"['问题：""商品已收到，请问怎么服用？谢谢！"", 答案：""亲，热水冲泡充分搅拌就可以了哈""', '问题：""光疙瘩"", 答案：""亲 建议用沸水 搅拌均匀哦""', '问题：""要不要放热水前先放两勺凉水的？搅拌均匀是怎么个均匀法啊"", 答案：""搅拌至充分溶解就可以哈""', '问题：""放多少？"", 答案：""热水冲泡搅拌溶解就可以哈""', '问题：""是倒在煮开的水里面搅拌3分钟我看了时间的"", 答案：""可以再试下哈注意用沸水，搅拌时间尽可能长一些哦""']"
163,这种山药粉里面含糖吗？因为血糖高的老人食用。,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲,发中通、极兔、邮政快递,仓库会选择适合您地区的快递发出呢。""},{""role"":""user"",""content"":""这种山药粉里面含糖吗？因为血糖高的老人食用。""}]","亲,这种山药粉里面含糖哦,不建议血糖高的老人食用呢。","亲,零添加蔗糖哈只有产品本身的糖分","18, 47","['问题：""问问山药粉含量多少？谢谢"", 答案：""亲 可以参考下评论区哦""', '问题：""在吗是纯山药粉还是有其它的？"", 答案：""纯正山药粉的""', '问题：""请问，主要功效是什么？"", 答案：""亲，纯山药粉哈功效不清楚哈""', '问题：""是纯山药吗是生粉还是熟粉"", 答案：""亲，我们的山药粉是纯正山药粉哦~""', '问题：""骗人的，，不是纯山药粉"", 答案：""亲亲，我们的铁棍山药粉是100%纯山药粉，不添加任何其他成分哦~""']"
164,现在什么不能造假,"[{""role"":""user"",""content"":""你家都是啥呀,这是黄瓜籽粉吗""},{""role"":""assistant"",""content"":""是的呢亲""},{""role"":""user"",""content"":""我需要合理解释""},{""role"":""assistant"",""content"":""什么问题呢亲""},{""role"":""user"",""content"":""里面全是玉米面""},{""role"":""assistant"",""content"":""亲亲,咱是黄瓜籽粉哈可以参考配料表看下哈""},{""role"":""user"",""content"":""我需要联系12315客服问一下""},{""role"":""assistant"",""content"":""亲亲,实在抱歉亲咱是黄瓜籽粉的哈""},{""role"":""user"",""content"":""压根不是黄瓜籽粉""},{""role"":""assistant"",""content"":""亲亲,咱是黄瓜籽粉哈,可以查看配料表哈""},{""role"":""user"",""content"":""现在什么不能造假""}]","亲亲,不能造假哈,都是正品哈","亲亲,都是正品","18, 8","['问题：""假的咋办"", 答案：""亲，我们的商品都是正品""', '问题：""原材料有假不符"", 答案：""亲亲，我们的原材料都是正品哦，我们有质量保证的""', '问题：""保真吗"", 答案：""亲亲，我们的商品都是正品哦，质量有保证的。""', '问题：""你的产品有问题"", 答案：""亲 掺假暂时还没有回复""', '问题：""你们这种行为，诚信在哪"", 答案：""真的是实在抱歉呢亲""']"
